"Data","SPTSX Index"
2001-01-02,0
2001-01-03,0.0378911920106833
2001-01-04,-0.0035914878381703
2001-01-05,-0.02419798555981
2001-01-08,-0.00212883477940669
2001-01-09,-0.011497168951878
2001-01-10,0.00335977601493225
2001-01-11,0.0237884847921124
2001-01-12,-0.0101074340745452
2001-01-15,0.0071245009407554
2001-01-16,-0.00393005638776556
2001-01-17,0.0154849039341262
2001-01-18,0.00221861837511552
2001-01-19,0.0294411794451124
2001-01-22,-0.00437720361092013
2001-01-23,0.0162043635566275
2001-01-24,0.00403504229242205
2001-01-25,-0.0131955040725539
2001-01-26,-0.00274408171265532
2001-01-29,0.0157236138105741
2001-01-30,0.00496656704865504
2001-01-31,-0.00283791878824171
2001-02-01,-0.00366557353835658
2001-02-02,-0.00684776640072358
2001-02-05,0.00888975618217495
2001-02-06,-0.000505045077959696
2001-02-07,-0.0176102522200958
2001-02-08,-0.0062270180353703
2001-02-09,-0.0135562236391468
2001-02-12,0.0047222470304545
2001-02-13,-0.00642229358103971
2001-02-14,-0.00342201496292821
2001-02-15,0.00626157212590465
2001-02-16,-0.0640215003401245
2001-02-19,0.00792308058904828
2001-02-20,-0.0263602728229133
2001-02-21,-0.021355640001457
2001-02-22,0.00899414450178642
2001-02-23,-0.0128484133131693
2001-02-26,0.013949780789159
2001-02-27,-0.0092251375786164
2001-02-28,0.00161176339313389
2001-03-01,0.0031069355218043
2001-03-02,-0.0119573533404083
2001-03-05,0.0115400467097129
2001-03-06,0.0131245910140383
2001-03-07,0.0117237008871989
2001-03-08,-0.00893782071358006
2001-03-09,-0.0111940298507463
2001-03-12,-0.0252227890111241
2001-03-13,0.00368208012307224
2001-03-14,-0.0191720585463911
2001-03-15,0.00207508742266466
2001-03-16,-0.00906290345259559
2001-03-19,0.0204974071876371
2001-03-20,-0.0195421622783179
2001-03-21,-0.0117320956617031
2001-03-22,2.60909268801537e-05
2001-03-23,-0.00337868687791065
2001-03-26,0.00612581481190609
2001-03-27,0.00842114849218114
2001-03-28,-0.0315829670521058
2001-03-29,-0.00822484986385178
2001-03-30,0.0219240864068515
2001-04-02,0.00456361724500529
2001-04-03,-0.025951493709046
2001-04-04,-0.00388615304430997
2001-04-05,0.0211490873783789
2001-04-06,-0.0128798723766157
2001-04-09,0.00847386200207367
2001-04-10,0.0275480924212897
2001-04-11,-0.00426943807894648
2001-04-12,0.0158881218979654
2001-04-16,-0.00571266665135123
2001-04-17,0.00367115677379774
2001-04-18,0.0399165628604973
2001-04-19,0.00203045810135567
2001-04-20,-0.00592070380770976
2001-04-23,-0.0209446579022747
2001-04-24,-0.00480844409695076
2001-04-25,0.00679197178797395
2001-04-26,0.0018942087556495
2001-04-27,0.000881874095513803
2001-04-30,-0.00259936189493608
2001-05-01,-3.77518520429644e-05
2001-05-02,0.0090746294201222
2001-05-03,-0.0078494071165962
2001-05-04,0.00329080510338763
2001-05-07,0.00512674023513848
2001-05-08,0.00518535138234481
2001-05-09,0.000798591304779211
2001-05-10,0.00629937650545672
2001-05-11,-0.0120433714052118
2001-05-14,-0.00170370915055082
2001-05-15,0.00395880149812735
2001-05-16,0.0129711218136442
2001-05-17,0.0101853420443357
2001-05-18,0.00505043753850709
2001-05-22,0.0150848492542818
2001-05-23,-0.00556858531727834
2001-05-24,-0.000209616987839819
2001-05-25,-0.00646594327653311
2001-05-28,-0.000204996117132457
2001-05-29,-0.00471949575088579
2001-05-30,-0.0182500990667729
2001-05-31,0.00746289843372944
2001-06-01,0.0109129402943199
2001-06-04,0.00609263914172187
2001-06-05,-0.0051064844763594
2001-06-06,-0.00780135661026639
2001-06-07,-0.000353900656424656
2001-06-08,-0.00770555784112535
2001-06-11,-0.00449659648859491
2001-06-12,0.00036580151313302
2001-06-13,-0.0101349264587796
2001-06-14,-0.011567828233538
2001-06-15,-0.0131274423772578
2001-06-18,-0.013944330150152
2001-06-19,-0.000547547777436134
2001-06-20,-0.00353374781088091
2001-06-21,0.00407392207826053
2001-06-22,0.0042481302517737
2001-06-25,-0.00542271882744207
2001-06-26,-0.0111306119108459
2001-06-27,-0.0107001961374197
2001-06-28,0.00922773339565713
2001-06-29,0.0179340925388649
2001-07-03,0.00154724127010791
2001-07-04,-0.00228565676172384
2001-07-05,-0.00616251498911463
2001-07-06,-0.0115645381929124
2001-07-09,0.00613105929324272
2001-07-10,-0.0107307203023816
2001-07-11,0.00159948350838573
2001-07-12,0.0132139621016593
2001-07-13,0.0123598259377746
2001-07-16,-0.0157038128265189
2001-07-17,0.00660022397588594
2001-07-18,-0.00957353203026201
2001-07-19,0.00287121398024008
2001-07-20,0.000732758902693472
2001-07-23,-0.00271053027281815
2001-07-24,-0.0053374624043885
2001-07-25,0.00491793986958423
2001-07-26,-0.00278731659456808
2001-07-27,0.010468828304113
2001-07-30,-0.00531621314838537
2001-07-31,0.0063300581574911
2001-08-01,0.00672068704980309
2001-08-02,0.00191438983022381
2001-08-03,-0.00154457278638089
2001-08-07,0.0036181870068089
2001-08-08,-0.0151912642832237
2001-08-09,0.0053696290644565
2001-08-10,-0.00656767932467519
2001-08-13,-0.00157232704402521
2001-08-14,-0.00356099414361882
2001-08-15,-0.0095719950772597
2001-08-16,0.0048787157892501
2001-08-17,-0.00881435556254272
2001-08-20,0.00298690480157274
2001-08-21,-0.00693407183368863
2001-08-22,0.00878498269766553
2001-08-23,0.000501417366285352
2001-08-24,0.0116076956834752
2001-08-27,0.00423069059339757
2001-08-28,-0.0109484954791287
2001-08-29,-0.0110855265328205
2001-08-30,-0.0102330558795038
