"Data","CDAX Index"
2001-01-02,0
2001-01-03,0.0156682582353649
2001-01-04,-0.00811819779959302
2001-01-05,-0.00215070893739055
2001-01-08,-0.00472978366727869
2001-01-09,-0.000601552004170669
2001-01-10,-0.0107943259565419
2001-01-11,0.0207492444678823
2001-01-12,0.00623931963597343
2001-01-15,0.00716824644549762
2001-01-16,-0.00443111189537869
2001-01-17,0.0240857080961853
2001-01-18,0.000249999999999991
2001-01-19,0.00180724049756802
2001-01-22,0.00379987333755523
2001-01-23,0.00615619921613618
2001-01-24,0.000323028103445138
2001-01-25,0.00180457412050743
2001-01-26,-0.00438006029693385
2001-01-29,0.00851298849699077
2001-01-30,-0.000887546029647651
2001-01-31,0.00478188553715879
2001-02-01,-0.0109290645397943
2001-02-02,-0.00772156713579297
2001-02-05,-0.00178249702917174
2001-02-06,0.00904360515351095
2001-02-07,-0.0152801035165169
2001-02-08,0.0069953042570871
2001-02-09,-0.0163689048377501
2001-02-12,0.00780365991650084
2001-02-13,-0.00127763366758311
2001-02-14,-0.0110482245309349
2001-02-15,0.0138567676688486
2001-02-16,-0.019660151945717
2001-02-19,0.0012423095125414
2001-02-20,-0.00360413589364842
2001-02-21,-0.0134408602150538
2001-02-22,-0.00923625581022603
2001-02-23,-0.0259448747244747
2001-02-26,0.0166292974588939
2001-02-27,0.0041454797933387
2001-02-28,0.00264378101358487
2001-03-01,-0.0149689667761957
2001-03-02,0.00545671690964507
2001-03-05,0.00651252329558256
2001-03-06,0.0128593810405518
2001-03-07,0.00462042226641747
2001-03-08,-0.00615889139954805
2001-03-09,-0.00991931751876221
2001-03-12,-0.0226589172492277
2001-03-13,-0.0139937204998649
2001-03-14,-0.0265921552087727
2001-03-15,0.0135834831777119
2001-03-16,-0.0246227503954175
2001-03-19,-0.0102774247271771
2001-03-20,0.0195726779585963
2001-03-21,-0.0251688418858174
2001-03-22,-0.0386054800623747
2001-03-23,0.025789559051834
2001-03-26,0.0272193358933816
2001-03-27,0.0301044529961517
2001-03-28,-0.0172273930492699
2001-03-29,0.00858005517301299
2001-03-30,-0.00331667815299798
2001-04-02,-0.0112364406413414
2001-04-03,-0.0328467153284671
2001-04-04,0.00474522652807585
2001-04-05,0.0275272686382548
2001-04-06,-0.0101556173258333
2001-04-09,0.00979546710889996
2001-04-10,0.0195322764298853
2001-04-11,0.00642182130584182
2001-04-12,0.00755457862950558
2001-04-17,-0.00999724652108523
2001-04-18,0.0347660512184164
2001-04-19,0.00279121697059911
2001-04-20,-0.00744314550215462
2001-04-23,-0.0108018280016618
2001-04-24,0.0108777824443511
2001-04-25,-0.000727076322240273
2001-04-26,0.0032430409745754
2001-04-27,0.0067966596904205
2001-04-30,0.0135427171877251
2001-05-02,-0.00355366027007818
2001-05-03,-0.0171999184837987
2001-05-04,0.00516318998050846
2001-05-07,-0.00115523465703972
2001-05-08,-0.00074350977921893
2001-05-09,-0.00748196680652296
2001-05-10,0.012473709418796
2001-05-11,-0.00248868778280539
2001-05-14,-0.0104950617538507
2001-05-15,0.000250052094186298
2001-05-16,0.0106870547060539
2001-05-17,0.00476141399567145
2001-05-18,0.00322077708940219
2001-05-21,0.00924278674109981
2001-05-22,0.00504508155202109
2001-05-23,-0.00810418514635924
2001-05-24,0.00792650705255891
2001-05-25,-0.00673495725116961
2001-05-28,-0.00129928133501154
2001-05-29,-0.0127657844452575
2001-05-30,-0.0126631800024709
2001-05-31,0.0113449146003212
2001-06-01,0.000412413650891821
2001-06-04,0.00750283417499751
2001-06-05,0.00752879559729128
2001-06-06,-0.0060105184072127
2001-06-07,-0.000939715225429469
2001-06-08,0.00128821183928023
2001-06-11,-0.0015724554811305
2001-06-12,-0.0141743879241578
2001-06-13,0.00744844184405987
2001-06-14,-0.0121918569928126
2001-06-15,-0.0152194308349837
2001-06-18,-0.00554673441304119
2001-06-19,0.00753624422540601
2001-06-20,-0.00783907705960652
2001-06-21,0.00749637958940281
2001-06-22,0.00259998308954092
2001-06-25,-0.0081381375050073
2001-06-26,-0.00782229779997876
2001-06-27,-0.00212095893052255
2001-06-28,0.0186354072738203
2001-06-29,0.0120768874088438
2001-07-02,0.0058310252191841
2001-07-03,-0.00732934429284254
2001-07-04,-0.00623631244133905
2001-07-05,-0.0040507072996684
2001-07-06,-0.0204412787389627
2001-07-09,0.000172105931200742
2001-07-10,-0.00692607171280469
2001-07-11,-0.00441854924299859
2001-07-12,0.0135102795605353
2001-07-13,0.00513029665564759
2001-07-16,-0.0100800854244528
2001-07-17,-0.00286928569887598
2001-07-18,-0.0172436174816096
2001-07-19,0.0140457477489378
2001-07-20,-0.0100953083953888
2001-07-23,0.00293885428546371
2001-07-24,-0.0156133828996282
2001-07-25,-0.0117735916118714
2001-07-26,0.0142291957020186
2001-07-27,0.0140295662581174
2001-07-30,0.00469924812030083
2001-07-31,0.010507538016403
2001-08-01,-0.00254036598493005
2001-08-02,-0.00669084002417328
2001-08-03,-0.0066924514362697
2001-08-06,-0.00065625410158816
2001-08-07,0.0014009281148762
2001-08-08,-0.019323249103786
2001-08-09,-0.0151569186875892
2001-08-10,-0.00991309071156979
2001-08-13,0.00457184656882915
2001-08-14,0.00876075183179362
2001-08-15,-0.00992533441609704
2001-08-16,-0.0145132259460937
2001-08-17,-0.0194664077310769
2001-08-20,-0.00341884372347446
2001-08-21,0.00141954716445446
2001-08-22,0.000189004654239707
2001-08-23,0.0047006023384905
2001-08-24,0.0202661400291532
2001-08-27,0.00283436261406585
2001-08-28,-0.0138789953813277
2001-08-29,-0.00163113130607011
