"Data","SBF250 Index"
2001-01-02,0
2001-01-03,-0.0212535282857667
2001-01-04,0.0199968508896236
2001-01-05,-0.00821674439262718
2001-01-08,-0.00547224012320731
2001-01-09,-0.0101507929534771
2001-01-10,-0.00147568312756065
2001-01-11,0.00870884134907867
2001-01-12,0.0220509261554223
2001-01-15,0.000862252472913098
2001-01-16,-0.0117838364639337
2001-01-17,0.0197867401869974
2001-01-18,-0.00227074189144785
2001-01-19,0.000337370172728232
2001-01-22,0.00477244561740669
2001-01-23,-0.00646268108027476
2001-01-24,0.00845398970398976
2001-01-25,0.00535477369832999
2001-01-26,-0.00144395930467807
2001-01-29,-0.00533130639518411
2001-01-30,0.00504835342734206
2001-01-31,0.0120594281838798
2001-02-01,-0.0136826729770481
2001-02-02,-0.00984105162305692
2001-02-05,-0.000369892865088308
2001-02-06,0.00472994532676584
2001-02-07,-0.0142004286015474
2001-02-08,0.00348145300579872
2001-02-09,-0.0104620796823067
2001-02-12,0.00690033097597015
2001-02-13,-0.00382860624111551
2001-02-14,-0.0148595720160582
2001-02-15,0.0113424418668815
2001-02-16,-0.0166987218834827
2001-02-19,-0.00171182518852275
2001-02-20,-0.00493584238654656
2001-02-21,-0.0123896425269731
2001-02-22,-0.00496316511361553
2001-02-23,-0.0200596845246554
2001-02-26,0.0154353929325506
2001-02-27,0.00401012241726979
2001-02-28,-0.0121871426214304
2001-03-01,-0.00648554001048284
2001-03-02,-0.00773373683264642
2001-03-05,0.0135109869885544
2001-03-06,0.0157030486627332
2001-03-07,0.00486964615607281
2001-03-08,-0.00731990409570099
2001-03-09,-0.011296943765629
2001-03-12,-0.022806007941532
2001-03-13,-0.0102822616264347
2001-03-14,-0.0152712407994716
2001-03-15,0.00986739740595618
2001-03-16,-0.0138935842395776
2001-03-19,-0.0100937165325186
2001-03-20,0.0146620735310342
2001-03-21,-0.0233426365580484
2001-03-22,-0.038801261829653
2001-03-23,0.0257598280533086
2001-03-26,0.0310037641154329
2001-03-27,0.0209076194764576
2001-03-28,-0.0134224987781473
2001-03-29,0.000175199062382927
2001-03-30,0.00589230165201903
2001-04-02,0.00294240394402218
2001-04-03,-0.0364566026326109
2001-04-04,0.00900383082243067
2001-04-05,0.017443596983628
2001-04-06,-0.00373457294522832
2001-04-09,0.00665872803713337
2001-04-10,0.0263259541800448
2001-04-11,0.00640972867442112
2001-04-12,0.00212978544383676
2001-04-17,-0.00669354580093699
2001-04-18,0.0298073790579389
2001-04-19,-0.00334305183867852
2001-04-20,-0.00533594125317407
2001-04-23,-0.00793472823555791
2001-04-24,0.00497278876080186
2001-04-25,-0.00254329659682698
2001-04-26,0.0129079072133953
2001-04-27,0.0159913464639517
2001-04-30,0.0113854710938816
2001-05-02,-0.0095546797099155
2001-05-03,-0.0169296649120986
2001-05-04,-0.0015061787560332
2001-05-07,0.0074051218759641
2001-05-08,0.00425954285066076
2001-05-09,-0.00459163791009871
2001-05-10,0.0173051609096273
2001-05-11,-0.00441722718602554
2001-05-14,-0.0134365231420792
2001-05-15,0.00894056187271973
2001-05-16,-0.00327832869958693
2001-05-17,0.0129136445896234
2001-05-18,0.00656682637768169
2001-05-21,0.0023814204896311
2001-05-22,0.00713557594291537
2001-05-23,-0.00876095805492457
2001-05-24,0.00355583350397642
2001-05-25,-0.010946801851857
2001-05-28,0.00417069750455126
2001-05-29,-0.00943948871287019
2001-05-30,-0.0155498067485264
2001-05-31,0.00067759743310152
2001-06-01,-0.00406283163432232
2001-06-05,0.0131323721400595
2001-06-06,-0.00403780650109409
2001-06-07,-0.00640118227939835
2001-06-08,-0.00204014759727039
2001-06-11,-0.0050908094187112
2001-06-12,-0.0190009642537365
2001-06-13,0.00583614901926376
2001-06-14,-0.0103597708169736
2001-06-15,-0.0105798958468031
2001-06-18,-0.0139068756163341
2001-06-19,0.00644003060370005
2001-06-20,-0.00714405430319279
2001-06-21,-0.00675233694161341
2001-06-22,0.00914120614148243
2001-06-25,0.00386756448697619
2001-06-26,-0.0213783909285638
2001-06-27,-0.0055256398874668
2001-06-28,0.0129565897295401
2001-06-29,0.016449737588243
2001-07-02,0.0119829225415276
2001-07-03,-0.015002186218551
2001-07-04,-0.00512588255760249
2001-07-05,-0.00991567605374781
2001-07-06,-0.022091422864242
2001-07-09,0.00491043209934205
2001-07-10,-0.00711120751092253
2001-07-11,-0.0108883236849907
2001-07-12,0.00883431246963205
2001-07-13,0.0105677631620098
2001-07-16,-0.000513733075435158
2001-07-17,-0.00888348056564457
2001-07-18,-0.0179949389234278
2001-07-19,0.010485795183406
2001-07-20,-0.00878706403128217
2001-07-23,0.00590785649625992
2001-07-24,-0.0103917017951025
2001-07-25,-0.0157464486732779
2001-07-26,0.0120336241243042
2001-07-27,0.0222018636624266
2001-07-30,0.0127071373060243
2001-07-31,0.00853738160146307
2001-08-01,0.00549511238747441
2001-08-02,-0.00228855994653924
2001-08-03,-0.00988784800912628
2001-08-06,0.00581341471702067
2001-08-07,-0.00270564100044222
2001-08-08,-0.0111229156081112
2001-08-09,-0.0182204326691019
2001-08-10,-0.00777741125123702
2001-08-13,0.0127485454894189
2001-08-14,0.00790384081210069
2001-08-15,-0.00496692889712872
2001-08-16,-0.0098355186544381
2001-08-17,-0.0184583011497103
2001-08-20,0.00137308367390551
2001-08-21,0.00848915651740843
2001-08-22,-0.00448943859570361
2001-08-23,-0.000257696259860821
2001-08-24,0.0193676436946413
2001-08-27,-0.00108099907071998
2001-08-28,-0.0160300222762253
2001-08-29,0.00377854813709537
2001-08-30,-0.024213416372729
