"Data","GFRN10 Index"
2001-01-02,0
2001-01-03,0.000188864831101462
2001-01-04,0.000189091897315422
2001-01-05,0.00018750216203518
2001-01-08,0.000187880727965014
2001-01-09,0.000189621668168341
2001-01-10,0.000190945787244689
2001-01-11,0.000189621668168251
2001-01-12,0.000192571960000179
2001-01-15,0.000192042581260655
2001-01-16,0.000193176878171462
2001-01-17,0.000192080396360128
2001-01-18,0.000191777865516175
2001-01-19,0.00019302565723734
2001-01-22,0.00019381950312591
2001-01-23,0.000193101268421742
2001-01-24,0.000194499816609344
2001-01-25,0.000194348645872585
2001-01-26,0.000193592706151983
2001-01-29,0.000193403698812641
2001-01-30,0.000192193839505534
2001-01-31,0.000191324026179729
2001-02-01,0.000191021437904049
2001-02-02,0.000190907961376363
2001-02-05,0.000190189201649739
2001-02-06,0.000190567512403706
2001-02-07,0.000190000032803652
2001-02-08,0.000191324026179659
2001-02-09,0.00019015136859928
2001-02-12,0.000189924362750551
2001-02-13,0.000189773018333609
2001-02-14,0.000190643170244432
2001-02-15,0.000192950044618328
2001-02-16,0.000192156025482716
2001-02-19,0.000191626591480589
2001-02-20,0.000192307279421395
2001-02-21,0.000193252486486161
2001-02-22,0.00019359270615219
2001-02-23,0.000192685389152214
2001-02-26,0.000192647579793658
2001-02-27,0.000189697343969567
2001-02-28,0.000189735181331083
2001-03-01,0.000189394632141116
2001-03-02,0.000188940521277313
2001-03-05,0.000189924362750422
2001-03-06,0.00018973518133111
2001-03-07,0.000189924362750668
2001-03-08,0.000188145702718675
2001-03-09,0.000188524207518583
2001-03-12,0.000188069997443988
2001-03-13,0.000189318950590942
2001-03-14,0.000187842872990422
2001-03-15,0.000187729305908996
2001-03-16,0.000186252639236125
2001-03-19,0.000187047835440866
2001-03-20,0.000187577878098444
2001-03-21,0.000186252639236214
2001-03-22,0.000184169230142795
2001-03-23,0.000184964842173895
2001-03-26,0.0001854572843128
2001-03-27,0.000186404117414889
2001-03-28,0.000186479854344909
2001-03-29,0.000188069997444013
2001-03-30,0.000187956436835601
2001-04-02,0.000188751293142285
2001-04-03,0.000188334959612857
2001-04-04,0.000189886527185223
2001-04-05,0.000189962197956819
2001-04-06,0.000188145702718687
2001-04-09,0.000188637751948124
2001-04-10,0.000190605341503662
2001-04-11,0.000193479302824081
2001-04-12,0.000193706106252607
2001-04-17,0.000582932310894789
2001-04-18,0.000195633414374546
2001-04-19,0.000198428244178222
2001-04-20,0.000197144376596418
2001-04-23,0.000195860095234948
2001-04-24,0.000197559790786269
2001-04-25,0.000197182143312267
2001-04-26,0.000195066655802684
2001-04-27,0.000197899642915459
2001-04-30,0.000200164583359916
2001-05-02,0.000399954010353101
2001-05-03,0.000199070022885669
2001-05-04,0.000197635315986428
2001-05-07,0.000197559790786436
2001-05-08,0.00019721990967008
2001-05-09,0.000196766689748824
2001-05-10,0.00019676668974885
2001-05-11,0.000200089106082319
2001-05-14,0.000202390520146121
2001-05-15,0.000202692246377461
2001-05-16,0.000202051050826104
2001-05-17,0.000201673828771513
2001-05-18,0.000201560655191537
2001-05-21,0.000201636104601993
2001-05-22,0.000203333338772031
2001-05-23,0.000204539821200568
2001-05-24,0.000205369066028934
2001-05-25,0.000206198138329884
2001-05-28,0.000205369066029149
2001-05-29,0.000203898922892483
2001-05-30,0.000204087433095188
2001-05-31,0.000204765995995398
2001-06-01,0.000200806082505761
2001-06-05,0.0003992364959521
2001-06-06,0.000199824924351621
2001-06-07,0.000201107928726682
2001-06-08,0.000201258843263364
2001-06-11,0.000200617417006371
2001-06-12,0.00020137202541515
2001-06-13,0.000201447478397329
2001-06-14,0.000198919025429884
2001-06-15,0.000199145519467975
2001-06-18,0.00019820170936594
2001-06-19,0.000199107771355786
2001-06-20,0.000198050679002909
2001-06-21,0.000196313418274473
2001-06-22,0.000195973430829678
2001-06-25,0.000196691148083655
2001-06-26,0.000197824122724845
2001-06-27,0.000197370971522975
2001-06-28,0.00019952298092645
2001-06-29,0.00020254138611764
2001-07-02,0.00020193788795899
2001-07-03,0.000203371046877494
2001-07-04,0.000203144792891856
2001-07-05,0.000202880813670885
2001-07-06,0.000201409752084971
2001-07-09,0.000202843100925953
2001-07-10,0.000202201929649715
2001-07-11,0.000200466478175063
2001-07-12,0.000200768350120654
2001-07-13,0.000201636104602046
2001-07-16,0.000200466478175127
2001-07-17,0.00019971169824841
2001-07-18,0.000198654766113128
2001-07-19,0.000198352734004867
2001-07-20,0.000196766689748966
2001-07-23,0.000196540060456552
2001-07-24,0.000196351192866608
2001-07-25,0.000197106609522316
2001-07-26,0.000196464514494662
2001-07-27,0.000194424231957809
2001-07-30,0.00019446202446289
2001-07-31,0.000193479302824256
2001-08-01,0.000194575399827305
2001-08-02,0.000195180013966041
2001-08-03,0.000194499816609444
2001-08-06,0.000194046287192501
2001-08-07,0.00019427305835339
2001-08-08,0.000194499816609465
2001-08-09,0.00019189131727415
2001-08-10,0.000190491853126219
2001-08-13,0.000190227034341487
2001-08-14,0.000191664410527709
2001-08-15,0.000191324026179727
2001-08-16,0.000190794481617244
2001-08-17,0.000188713446437058
2001-08-20,0.000189432472377516
2001-08-21,0.000191021437904003
2001-08-22,0.000191966949985151
2001-08-23,0.000192231653169764
2001-08-24,0.00019366830657756
2001-08-27,0.000193252486486157
2001-08-28,0.000190832308562831
2001-08-29,0.000190718826648958
2001-08-30,0.000189356791545582
2001-08-31,0.000190113535188894
2001-09-03,0.000190075701419724
2001-09-04,0.000194310852292245
2001-09-05,0.000194802140879866
2001-09-06,0.000192798815075921
