"Data","SAX Index"
2001-01-02,0
2001-01-03,-0.039315087918321
2001-01-04,0.00361636960773467
2001-01-05,0.0562562047284625
2001-01-08,0.00142722873951344
2001-01-09,-0.0177280311457175
2001-01-10,-0.00803312336329529
2001-01-11,0.0204416538832008
2001-01-12,0.0169556705355893
2001-01-15,0.0127883392347624
2001-01-16,-0.0213842028444384
2001-01-17,0.0345461482432104
2001-01-18,0.00952157441244521
2001-01-19,-0.000929892730231575
2001-01-22,-0.00525213575773687
2001-01-23,-0.0142690058479532
2001-01-24,0.0128483287002507
2001-01-25,0.0152960471265522
2001-01-26,-0.0346475901628535
2001-01-29,0.00611276167059393
2001-01-30,0.011370579050981
2001-01-31,0.0198342114978017
2001-02-01,-0.010267210741082
2001-02-02,-0.00970873786407772
2001-02-05,-0.0154445339779746
2001-02-06,0.00913927158641388
2001-02-07,-0.01588267099216
2001-02-08,-0.00827553052674962
2001-02-09,-0.0271458744503306
2001-02-12,0.00523187528917667
2001-02-13,-0.000778926497663116
2001-02-14,-0.0288073134434131
2001-02-15,0.0271078842715897
2001-02-16,-0.0267121341290139
2001-02-19,0.00215328467153276
2001-02-20,-0.00134746349102279
2001-02-21,-0.00820509080300489
2001-02-22,-0.0176490054050079
2001-02-23,-0.0179286596549014
2001-02-26,0.0248494549889473
2001-02-27,0.0101152844923765
2001-02-28,-0.00349753331860684
2001-03-01,-0.0260095319023165
2001-03-02,0.0235178090505632
2001-03-05,0.00822740243857254
2001-03-06,0.0233412975555963
2001-03-07,0.000646551724137956
2001-03-08,-0.0150405628544763
2001-03-09,-0.0158897919020373
2001-03-12,-0.0594748731622411
2001-03-13,-0.00531558845532935
2001-03-14,-0.0259678568601061
2001-03-15,0.0187352678208566
2001-03-16,-0.0262496509354928
2001-03-19,-0.00774304559793525
2001-03-20,0.0200247729149464
2001-03-21,-0.0286581663630844
2001-03-22,-0.0318789848731092
2001-03-23,0.0192837465564739
2001-03-26,0.0405827702702702
2001-03-27,0.0254453958849073
2001-03-28,-0.0379135665664082
2001-03-29,-0.0208144796380091
2001-03-30,-0.00928415392371022
2001-04-02,-0.0196327863291355
2001-04-03,-0.0240484429065744
2001-04-04,0.0102818649175679
2001-04-05,0.0470696613440954
2001-04-06,-0.0226234865306465
2001-04-09,0.031420120879592
2001-04-10,0.0262239215360319
2001-04-11,-0.00886891021747053
2001-04-12,-0.0176105254555855
2001-04-17,-0.00386806970843907
2001-04-18,0.0497703549060542
2001-04-19,0.0219155198472676
2001-04-20,-0.0302806211808664
2001-04-23,-0.0191852297812563
2001-04-24,0.00556533125997457
2001-04-25,0.00594148048671309
2001-04-26,0.00760548565880495
2001-04-27,0.0182278074436906
2001-04-30,0.025629904183589
2001-05-02,0.000768905463073271
2001-05-03,-0.0243555760439476
2001-05-04,0.0144111509233374
2001-05-07,0.00784070178162474
2001-05-08,-0.0123627960716348
2001-05-09,-0.00783809078146931
2001-05-10,0.0097865817710176
2001-05-11,-0.00315273236805232
2001-05-14,-0.00839483034633558
2001-05-15,-0.00204756654591278
2001-05-16,0.00572127525252521
2001-05-17,0.0226372160539842
2001-05-18,0.0124683495741579
2001-05-21,0.0202341707400249
2001-05-22,0.00835654596100279
2001-05-23,-0.0120073664825046
2001-05-25,-0.00227408291082618
2001-05-28,-0.00100885550947196
2001-05-29,-0.0103605625374029
2001-05-30,-0.0177633319475414
2001-05-31,0.0042325599292009
2001-06-01,-0.00865933560672819
2001-06-05,0.0244270088509256
2001-06-06,-0.0110545180154688
2001-06-07,-0.0098046696169693
2001-06-08,-0.0125987285686767
2001-06-11,-0.0131496800374589
2001-06-12,-0.0165671582776482
2001-06-13,-0.00136699903505952
2001-06-14,-0.0223850551574201
2001-06-15,0.00881311259369086
2001-06-18,-0.0157984977139125
2001-06-19,-0.00111991372516492
2001-06-20,-0.0152811228303297
2001-06-21,0.00598802395209588
2001-06-25,0.00385647216633127
2001-06-26,-0.00647235677300811
2001-06-27,0.0051695876938595
2001-06-28,0.0259658805820372
2001-06-29,0.00664302889513794
2001-07-02,0.0151417004048583
2001-07-03,-0.00674004945361728
2001-07-04,-0.0169042360971693
2001-07-05,-0.0191962097696456
2001-07-06,-0.0307737153327225
2001-07-09,-0.00206229860365194
2001-07-10,-0.00228182718388083
2001-07-11,-0.00565288685595927
2001-07-12,0.0193551186911426
2001-07-13,0.00774830771850663
2001-07-16,-0.00692830890118717
2001-07-17,-0.0112306972391202
2001-07-18,-0.0137245622337908
2001-07-19,0.0208951317396615
2001-07-20,-0.00683673033371788
2001-07-23,-0.00374306242739752
2001-07-24,-0.0139920538953187
2001-07-25,-0.0136212333566923
2001-07-26,0.0128768704764442
2001-07-27,0.0256893603963
2001-07-30,0.0189340513741078
2001-07-31,0.0151006711409396
2001-08-01,-0.00103305785123967
2001-08-02,-0.00140641158221304
2001-08-03,-0.0113914088065946
2001-08-06,0.000377105505740398
2001-08-07,0.00289005235602093
2001-08-08,-0.0141162712996993
2001-08-09,-0.0199101923239854
2001-08-10,-0.00838520055325046
2001-08-13,0.00387934792084393
2001-08-14,0.0167600191046849
2001-08-15,-0.00781483537600882
2001-08-16,-0.0157958164758544
2001-08-17,-0.0153058993309135
2001-08-20,-0.0118577075098814
2001-08-21,0.0167191011235955
2001-08-22,0.00689594200335957
2001-08-23,0.00842918605672134
2001-08-24,0.017892903787549
2001-08-27,-0.00222402805696938
2001-08-28,-0.0107591409833254
2001-08-29,-0.00684634717046543
2001-08-30,-0.0221640488656195
2001-08-31,-0.00437265750490817
2001-09-03,-0.00802186967822888
