"Data","SPI Index"
2001-01-03,0
2001-01-04,0.000340964268372771
2001-01-05,-0.0145797307835757
2001-01-08,-0.0011481409714287
2001-01-09,-0.00310390653470227
2001-01-10,-0.0103118844923443
2001-01-11,0.00144988524038866
2001-01-12,-0.0015743985907481
2001-01-15,0.00146844767253797
2001-01-16,0.000455120193940015
2001-01-17,0.0122147850443632
2001-01-18,-0.00368237353620227
2001-01-19,-0.00787397278213704
2001-01-22,0.00109999505002228
2001-01-23,-0.000272865286957182
2001-01-24,0.00640217765630836
2001-01-25,0.00499451222508805
2001-01-26,0.00632440274057453
2001-01-29,-0.000712692953518388
2001-01-30,0.000565518160517002
2001-01-31,0.00153359601265045
2001-02-01,-0.00896642577672186
2001-02-02,0.00336404192811291
2001-02-05,0.00509511544891774
2001-02-06,0.00224242664010046
2001-02-07,-0.00412314902366766
2001-02-08,-0.00897588114794721
2001-02-09,-0.00294876386437129
2001-02-12,-0.00273503525460443
2001-02-13,0.0015760441292356
2001-02-14,-0.0108269243758227
2001-02-15,0.00603096683706429
2001-02-16,-0.0132920471513635
2001-02-19,0.000702743301629276
2001-02-20,-0.00643171642484253
2001-02-21,-0.00831700348536289
2001-02-22,0.000569424541820561
2001-02-23,-0.006934734350679
2001-02-26,0.00711789017461701
2001-02-27,0.0017240307273148
2001-02-28,0.000816329601540897
2001-03-01,-0.019034660071192
2001-03-02,-0.00362484050318612
2001-03-05,0.00517822874964914
2001-03-06,0.00512094575852924
2001-03-07,3.80639169301385e-06
2001-03-08,-0.00452387930739169
2001-03-09,-0.00477194646090197
2001-03-12,-0.0171622537992664
2001-03-13,-0.00283409593317006
2001-03-14,-0.0203223587108004
2001-03-15,0.00534804295240773
2001-03-16,-0.0214395739548878
2001-03-19,-0.010024221643289
2001-03-20,0.00449895229877966
2001-03-21,-0.0152729206290773
2001-03-22,-0.0518315604088873
2001-03-23,0.0220525906537144
2001-03-26,0.0350868921354528
2001-03-27,0.00424443823307142
2001-03-28,-0.00439349737647807
2001-03-29,0.0084095389559829
2001-03-30,0.0169683652829259
2001-04-02,-0.017113329617873
2001-04-03,-0.0217173802729516
2001-04-04,-0.00712962690735891
2001-04-05,0.0215255495603729
2001-04-06,-0.00242254081049534
2001-04-09,0.0141201426335738
2001-04-10,0.0132686037777555
2001-04-11,0.0104932536155772
2001-04-12,0.000871520663634935
2001-04-17,9.78608418829806e-05
2001-04-18,0.01280853103283
2001-04-19,-0.00490758595669325
2001-04-20,-0.00705984921287538
2001-04-23,-0.00884016267495743
2001-04-24,0.0112061398210561
2001-04-25,-0.00776493356004285
2001-04-26,-0.000371219083470189
2001-04-27,0.00561451543941568
2001-04-30,0.0108609297961954
2001-05-02,0.00672378759545116
2001-05-03,-0.00824022784690952
2001-05-04,0.00741473255342517
2001-05-07,0.0130280114024548
2001-05-08,-0.00235852713178296
2001-05-09,-0.00723217355662475
2001-05-10,0.0139220443783508
2001-05-11,0.00389636705746121
2001-05-14,-0.00597469405644816
2001-05-15,0.00858464549417318
2001-05-16,0.00179090168256558
2001-05-17,0.00914521522262986
2001-05-18,0.00211479846824114
2001-05-21,0.00207816001453568
2001-05-22,0.0040287090376806
2001-05-23,0.000257720807475012
2001-05-25,-0.00384977055593174
2001-05-28,-0.0014442873244435
2001-05-29,-0.00584978862108336
2001-05-30,-0.00673622231435452
2001-05-31,-0.00751907052263963
2001-06-01,0.004502792541647
2001-06-05,0.00778406657460734
2001-06-06,-0.000242028311595162
2001-06-07,0.00101790871226926
2001-06-08,-0.00453975042798195
2001-06-11,-0.00598176966265276
2001-06-12,-0.0120182130293209
2001-06-13,0.00892900621952814
2001-06-14,-0.0126127726283721
2001-06-15,-0.00577200577200586
2001-06-18,-0.00260382865076832
2001-06-19,-0.00630967075349299
2001-06-20,-0.00864556173331899
2001-06-21,0.000294234799369766
2001-06-22,-0.0080700673139262
2001-06-25,0.000875503061234812
2001-06-26,-0.0126091154068636
2001-06-27,-0.00937755795653347
2001-06-28,0.0200371317476442
2001-06-29,0.0113752290297623
2001-07-02,0.00841099841407432
2001-07-03,-0.00887762075010146
2001-07-04,-0.00786797313258042
2001-07-05,-0.00802907063406688
2001-07-06,-0.017713113755432
2001-07-09,0.000419649520297134
2001-07-10,-0.0115386204901433
2001-07-11,-0.011828010937461
2001-07-12,0.015373451971449
2001-07-13,0.00108757930265754
2001-07-16,-0.000838732369450109
2001-07-17,-0.00537197657076677
2001-07-18,-0.0051936628935823
2001-07-19,0.0175990737329615
2001-07-20,-0.00842392709744826
2001-07-23,-0.000469421860037178
2001-07-24,-0.0207143572788297
2001-07-25,-0.0134686378323999
2001-07-26,0.00148429819918113
2001-07-27,0.00990222897232565
2001-07-30,0.00691059168336448
2001-07-31,0.00406061647541043
2001-08-01,0.00895892628113695
2001-08-02,0.00371719185526616
2001-08-03,-0.00785126208568581
2001-08-06,0.00218285971446178
2001-08-07,-0.000912789758288961
2001-08-08,-0.00255814637301897
2001-08-09,-0.0199407043048337
2001-08-10,-0.0127858060579498
2001-08-13,0.0110688659309185
2001-08-14,0.0143314398383033
2001-08-15,-0.00540287035445462
2001-08-16,-0.00894203996287501
2001-08-17,-0.00741882564683291
2001-08-20,-0.00547882216168367
2001-08-21,0.0128172694003776
2001-08-22,-0.00959735055415703
2001-08-23,-0.00547895169390919
2001-08-24,0.0129180494160753
2001-08-27,0.00645542819280382
2001-08-28,-0.0136643778333427
2001-08-29,-0.0117599739102077
2001-08-30,-0.00750207352032038
2001-08-31,0.00651695405547383
2001-09-03,-0.0181711670641816
