"Data","MADX Index"
2001-01-02,0
2001-01-03,0.0102183475602132
2001-01-04,0.0381196696595333
2001-01-05,-0.00138729326078943
2001-01-08,0.00174737893160261
2001-01-09,-0.00741069784071337
2001-01-10,0.00208481143917477
2001-01-11,0.0102280896673421
2001-01-12,0.0157313062698797
2001-01-15,-0.00186828584773469
2001-01-16,-0.0136342366103713
2001-01-17,0.0261466801802773
2001-01-18,0.00374063527755298
2001-01-19,-0.00830131795199258
2001-01-22,0.00612240589439901
2001-01-23,0.00509893614789015
2001-01-24,0.00398747390396665
2001-01-25,4.15878230853628e-05
2001-01-26,-0.002734285654877
2001-01-29,-0.0123745087205363
2001-01-30,0.0079800709339638
2001-01-31,0.00802161437607347
2001-02-01,0.00140248083276186
2001-02-02,-0.0231863309576421
2001-02-05,-9.55840183521653e-05
2001-02-06,0.00808293237315321
2001-02-07,-0.00644821409756612
2001-02-08,0.0115484951960805
2001-02-09,-0.00906832167905477
2001-02-12,0.01474788938025
2001-02-13,-0.00378456149130489
2001-02-14,-0.0289263550071688
2001-02-15,0.00983952839237409
2001-02-16,-0.00765191778190429
2001-02-19,0.00608700328009891
2001-02-20,-0.0163333368964522
2001-02-21,-0.0108451148082545
2001-02-22,-0.0148091183740731
2001-02-23,-0.00861982448119364
2001-02-26,0.014195086835238
2001-02-27,0.0063105827030145
2001-02-28,9.91899487518949e-05
2001-03-01,-0.0064026271709425
2001-03-02,0.0102370151836119
2001-03-05,0.0101881738137584
2001-03-06,0.0210402764796662
2001-03-07,0.00163916977115483
2001-03-08,-0.0107859389611493
2001-03-09,-0.00658509598341372
2001-03-12,-0.0228059172109521
2001-03-13,0.000531167350913517
2001-03-14,-0.0115467566222418
2001-03-15,0.00834722672902835
2001-03-16,-0.0182318541451668
2001-03-19,-0.00446458846666823
2001-03-20,9.08275525381089e-05
2001-03-21,-0.0341821154086301
2001-03-22,-0.0378602661150031
2001-03-23,0.0290635880520433
2001-03-26,0.0270318398746349
2001-03-27,0.0193270219972027
2001-03-28,-0.00988852726716037
2001-03-29,0.0061046145388325
2001-03-30,0.011349665315787
2001-04-02,0.00149705653921055
2001-04-03,-0.0313687144559084
2001-04-04,0.0182866690646647
2001-04-05,0.0178785081871944
2001-04-06,-0.00277628515135234
2001-04-09,0.0145936237090256
2001-04-10,0.0148484177915469
2001-04-11,0.00203876932469855
2001-04-12,0.00440653254849901
2001-04-17,-0.0119375176029638
2001-04-18,0.0261149848704118
2001-04-19,-0.00190183131397321
2001-04-20,-0.0202748993748394
2001-04-23,-0.0257642971088919
2001-04-24,0.0156116818446906
2001-04-25,-0.00643800521224428
2001-04-26,0.0152267902592999
2001-04-27,0.0104879410573334
2001-04-30,0.0138351697164711
2001-05-02,-0.0119686251041911
2001-05-03,-0.0128166302537369
2001-05-04,0.00420715874354961
2001-05-07,0.00416771223147161
2001-05-08,0.00675800475885226
2001-05-09,-0.000140296349057312
2001-05-10,0.0125205077281755
2001-05-11,-0.00883719938597996
2001-05-14,-0.00842125641273828
2001-05-15,0.00527137836782508
2001-05-16,-0.00523294706631279
2001-05-17,0.00732127943425491
2001-05-18,0.00732190541820996
2001-05-21,-0.00630665298443644
2001-05-22,-0.00629289387061382
2001-05-23,0.00049795944878058
2001-05-24,-0.00219642296830872
2001-05-25,-0.0136629798308393
2001-05-28,0.0074978012313104
2001-05-29,-0.00591431876213959
2001-05-30,-0.00390779363336986
2001-05-31,0.00746054835581414
2001-06-01,-0.00980081162971312
2001-06-04,0.015686274509804
2001-06-05,0.00345858937408228
2001-06-06,-0.00648147144575834
2001-06-07,-0.00156002836415202
2001-06-08,0.00799807696510122
2001-06-11,-0.000899689986341977
2001-06-12,-0.0161873040327219
2001-06-13,0.00738870080172923
2001-06-14,-0.00435691687922147
2001-06-15,-0.00974150916427528
2001-06-18,-0.0321989674124244
2001-06-19,0.00275339872655306
2001-06-20,-0.00378696870888387
2001-06-21,-0.0108298688471875
2001-06-22,0.000336696427534891
2001-06-25,0.00385329619312899
2001-06-26,-0.0168801738889145
2001-06-27,0.00103490450653871
2001-06-28,0.00842340225563905
2001-06-29,0.00344839637918384
2001-07-02,0.0226045766430984
2001-07-03,-0.00561989100817431
2001-07-04,-0.0122966261346121
2001-07-05,-0.0108082489480742
2001-07-06,-0.0311897444287334
2001-07-09,0.00173694876001165
2001-07-10,-0.00569550139678261
2001-07-11,-0.0220405691795338
2001-07-12,-0.0110952882174477
2001-07-13,0.014312726179892
2001-07-16,0.000506160341719918
2001-07-17,0.0096985550880397
2001-07-18,-0.0175365701646115
2001-07-19,0.0138194392616363
2001-07-20,-0.00361940985215623
2001-07-23,0.00672330993719976
2001-07-24,0.00159009736288476
2001-07-25,-0.0246684414918302
2001-07-26,0.00750006260486316
2001-07-27,-0.00155347045299198
2001-07-30,0.0237117251680359
2001-07-31,0.00644416073925461
2001-08-01,0.00578677136816667
2001-08-02,0.00654623201287631
2001-08-03,-0.00429599398560845
2001-08-06,0.00892867843574353
2001-08-07,-0.00665209541005419
2001-08-08,-0.012532287381613
2001-08-09,-0.0165665568688238
2001-08-10,-0.0103930647226875
2001-08-13,0.0137997113135235
2001-08-14,0.0114148245431001
2001-08-16,-0.0123296481924201
2001-08-17,-0.0142528905107696
2001-08-20,0.000398868211450073
2001-08-21,0.00140794178845986
2001-08-22,0.0096799880555417
2001-08-23,0.00872458410351207
2001-08-24,0.0129370373085098
2001-08-27,-0.00260501465320739
2001-08-28,-0.0154290758273781
2001-08-29,0.00578446423088736
2001-08-30,-0.0199887662401094
