"Data","GSPG10YR Index"
2001-01-02,0
2001-01-03,0.00019593565265645
2001-01-04,0.000196275643323962
2001-01-05,0.000194877718363847
2001-01-08,0.000195180013965975
2001-01-09,0.000196766689748789
2001-01-10,0.000198314978382095
2001-01-11,0.000197182143312117
2001-01-12,0.000199862665671256
2001-01-15,0.000199673955498824
2001-01-16,0.000200730617377828
2001-01-17,0.000199824924351794
2001-01-18,0.000199183267222652
2001-01-19,0.000200051366907487
2001-01-22,0.000200806082505861
2001-01-23,0.00019997588748536
2001-01-24,0.000201070199199307
2001-01-25,0.000201145657896672
2001-01-26,0.000200391006615373
2001-01-29,0.000200315533626523
2001-01-30,0.000199258761659863
2001-01-31,0.000198126194899877
2001-02-01,0.000197748601103146
2001-02-02,0.000197559790786437
2001-02-05,0.000196955537647264
2001-02-06,0.000197333206596584
2001-02-07,0.000196804460044432
2001-02-08,0.000197975161674751
2001-02-09,0.00019691776878341
2001-02-12,0.000196766689748957
2001-02-13,0.000196917768783472
2001-02-14,0.00019771083975554
2001-02-15,0.000200013627375033
2001-02-16,0.000199296508341953
2001-02-19,0.000198881275171624
2001-02-20,0.000199824924351846
2001-02-21,0.000200655150820895
2001-02-22,0.000200994739072929
2001-02-23,0.000199824924351853
2001-02-26,0.000199900406633267
2001-02-27,0.000197333206596529
2001-02-28,0.000197144376596289
2001-03-01,0.000196993306153024
2001-03-02,0.000196615604986094
2001-03-05,0.000197522027649448
2001-03-06,0.000197484264154507
2001-03-07,0.000197484264154473
2001-03-08,0.000195822315987118
2001-03-09,0.000196011208644988
2001-03-12,0.000195633414374708
2001-03-13,0.000196766689748732
2001-03-14,0.000195897874124932
2001-03-15,0.000195973430829546
2001-03-16,0.000194802140879932
2001-03-19,0.000195444503807108
2001-03-20,0.000195708976094244
2001-03-21,0.000194159674386077
2001-03-22,0.000192080396360294
2001-03-23,0.0001929122377706
2001-03-26,0.000193479302824312
2001-03-27,0.000194575399827345
2001-03-28,0.000194273058353291
2001-03-29,0.000195557851222469
2001-03-30,0.000195444503807029
2001-04-02,0.000195520069108775
2001-04-03,0.000196086763201249
2001-04-04,0.000197635315986469
2001-04-05,0.000197786362092918
2001-04-06,0.000195860095235007
2001-04-09,0.000196351192866575
2001-04-10,0.000197861882999126
2001-04-11,0.000200617417006305
2001-04-12,0.000200768350120714
2001-04-17,0.000603897871427734
2001-04-18,0.000203295630309719
2001-04-19,0.000205142925461883
2001-04-20,0.000203861219781858
2001-04-23,0.000204351332397921
2001-04-24,0.000204351332397893
2001-04-25,0.00020431363356743
2001-04-26,0.000202654531847872
2001-04-27,0.00020518061644774
2001-04-30,0.000207441423448092
2001-05-02,0.000414285335678197
2001-05-03,0.000205482131500355
2001-05-04,0.000204200534936472
2001-05-07,0.000204162834679091
2001-05-08,0.000204125134065518
2001-05-09,0.000203484169053369
2001-05-10,0.000203408754626508
2001-05-11,0.000206461897892574
2001-05-14,0.000208947915841762
2001-05-15,0.000208910260472283
2001-05-16,0.000208081752306278
2001-05-17,0.000207592098318933
2001-05-18,0.000207554430135402
2001-05-21,0.000207818099943412
2001-05-22,0.000209475053657022
2001-05-23,0.000210491479707015
2001-05-24,0.000211018413386299
2001-05-25,0.0002120344458994
2001-05-28,0.000211206587101392
2001-05-29,0.000210265629655326
2001-05-30,0.000210453838920507
2001-05-31,0.000211168953069271
2001-06-01,0.000207328413555929
2001-06-04,0.000207290742879858
2001-06-05,0.000205293687266087
2001-06-06,0.000206612609804696
2001-06-07,0.000208232402967711
2001-06-08,0.000207968760572522
2001-06-11,0.000206989364648995
2001-06-12,0.000207818099943295
2001-06-13,0.000207742767492778
2001-06-14,0.000205444443366542
2001-06-15,0.000205369066029103
2001-06-18,0.00020491677206034
2001-06-19,0.000205858993237103
2001-06-20,0.000205029850365665
2001-06-21,0.000203559582053201
2001-06-22,0.000203069372041706
2001-06-25,0.000203484169053505
2001-06-26,0.000204652910202313
2001-06-27,0.000204426728988925
2001-06-28,0.000206311180280126
2001-06-29,0.000209362101423895
2001-07-02,0.000209136187352244
2001-07-03,0.000210227986735473
2001-07-04,0.000210039766802862
2001-07-05,0.000209700948518738
2001-07-06,0.00020845836828142
2001-07-09,0.000209663300264496
2001-07-10,0.000208834948665759
2001-07-11,0.0002074037538402
2001-07-12,0.000208157078348943
2001-07-13,0.000208759635435779
2001-07-16,0.000207629766146475
2001-07-17,0.000206838666985807
2001-07-18,0.000206047410741074
2001-07-19,0.000205482131500562
2001-07-20,0.000204012030084104
2001-07-23,0.000203748108309143
2001-07-24,0.000203521875731861
2001-07-25,0.000204162834679267
2001-07-26,0.000203446462018336
2001-07-27,0.000201485204352585
2001-07-30,0.000201409752084973
2001-07-31,0.000200579682834518
2001-08-01,0.000201711552583889
2001-08-02,0.000202390520146167
2001-08-03,0.000201900166289289
2001-08-06,0.000201334298388329
2001-08-07,0.000201485204352602
2001-08-08,0.000201673828771591
2001-08-09,0.000199183267222833
2001-08-10,0.000198277222400876
2001-08-13,0.000197597553565282
2001-08-14,0.000199032274057917
2001-08-16,0.000397046896650251
2001-08-17,0.000196124539942001
2001-08-20,0.000196804460044363
2001-08-21,0.000198163952311919
2001-08-22,0.000199070022885528
2001-08-23,0.000199107771355676
2001-08-24,0.000200315533626542
2001-08-27,0.000199900406633364
2001-08-28,0.000197446500302053
2001-08-29,0.000197219909669874
2001-08-30,0.000195897874124907
2001-08-31,0.000196577832900326
2001-09-03,0.000196540060456405
2001-09-04,0.000200579682834511
2001-09-05,0.000201032469314924
2001-09-06,0.000199145519468096
