"Data","KAX Index"
2001-01-02,0
2001-01-03,0.0031677506167302
2001-01-04,0.0117806742649554
2001-01-05,0.00478208375748676
2001-01-08,0.00338100511273951
2001-01-09,-0.00200767848966224
2001-01-10,-0.00155290463753789
2001-01-11,-0.00150818899493348
2001-01-12,0.0124377522361992
2001-01-15,0.00372977761201003
2001-01-16,0.0012889590784522
2001-01-17,0.0238285765092915
2001-01-18,0.00597708093413117
2001-01-19,0.00264987163511349
2001-01-22,0.0123346335546952
2001-01-23,-0.000787637420542787
2001-01-24,0.0122013500310861
2001-01-25,-0.000482609601737413
2001-01-26,-0.000929106265614517
2001-01-29,0.000644388874040237
2001-01-30,-0.00193192171326337
2001-01-31,0.00447621666208415
2001-02-01,-0.0129235463291435
2001-02-02,-0.0154998058826792
2001-02-05,-0.00466831666435064
2001-02-06,0.00935023771790812
2001-02-07,-0.00352152165623671
2001-02-08,-0.00276114587553831
2001-02-09,-0.00141825295312621
2001-02-12,-0.00277649062133854
2001-02-13,-0.00709088573738415
2001-02-14,-0.0068751926157312
2001-02-15,0.0187761951099908
2001-02-16,0.00294070087957786
2001-02-19,-0.00726645544702945
2001-02-20,0.00434721849777355
2001-02-21,-0.00473078166953716
2001-02-22,-0.0226894884002118
2001-02-23,-0.0150934642670738
2001-02-26,-0.00276348277337482
2001-02-27,0.00775840690895769
2001-02-28,-0.00772211328890928
2001-03-01,-0.010277868533032
2001-03-02,-0.00649484946108265
2001-03-05,0.00203765457551538
2001-03-06,0.00734301215312455
2001-03-07,0.000412462719715658
2001-03-08,0.000432114427071806
2001-03-09,-0.00495726292514178
2001-03-12,-0.0145556059990602
2001-03-13,-0.0180278115667344
2001-03-14,-0.0256471459730853
2001-03-15,0.00689311448821149
2001-03-16,-0.010579302823105
2001-03-19,-0.0181542218529007
2001-03-20,0.00669729603689337
2001-03-21,-0.0021275044287265
2001-03-22,-0.0182427001259451
2001-03-23,0.0105736940502722
2001-03-26,0.0302410619898445
2001-03-27,-0.00140458888440319
2001-03-28,-0.0100228250890684
2001-03-29,-0.00935008805587936
2001-03-30,0.0117485400206116
2001-04-02,-0.018623523020508
2001-04-03,-0.0212214783676718
2001-04-04,-0.0176916857030501
2001-04-05,0.0206551905612256
2001-04-06,0.00674279116297723
2001-04-09,0.00203993188553622
2001-04-10,0.0107511849894061
2001-04-11,0.0100014695331207
2001-04-17,0.0065816501198219
2001-04-18,0.0227321038355909
2001-04-19,-0.00167937979340302
2001-04-20,-0.00991001869579155
2001-04-23,-0.00489526076515792
2001-04-24,-0.00160174459147057
2001-04-25,-0.00599818826776387
2001-04-26,-0.000379012098577208
2001-04-27,0.00461803247959376
2001-04-30,0.0130143840960749
2001-05-01,-0.00271678841283463
2001-05-02,-0.00692170788629762
2001-05-03,0.0029291550254241
2001-05-04,-0.00468644639244772
2001-05-07,0.0121142576470986
2001-05-08,0.00863075191713146
2001-05-09,-0.00651203689877732
2001-05-10,0.0102621053598417
2001-05-14,-0.00212000991817496
2001-05-15,0.00203754550311219
2001-05-16,-0.0049595179348568
2001-05-17,0.0148239525832888
2001-05-18,0.00843538194558138
2001-05-21,-0.000612852034790557
2001-05-22,0.0100512512284862
2001-05-23,-5.2269081230194e-05
2001-05-25,0.0085323683152393
2001-05-28,-0.00174227141159871
2001-05-29,-0.00179723226231599
2001-05-30,-0.00252465641066677
2001-05-31,0.00640583384141453
2001-06-01,-0.00195694716242667
2001-06-06,-0.000842618106305596
2001-06-07,-0.00710634335069293
2001-06-08,-0.00451250095603826
2001-06-11,-0.00357056207035993
2001-06-12,-0.00310043544073668
2001-06-13,0.0112435020130021
2001-06-14,-0.00904534750317004
2001-06-15,-0.00937571089662342
2001-06-18,0.00315754941359789
2001-06-19,-0.00175775661202635
2001-06-20,0.00286650286650294
2001-06-21,-0.00616578195181715
2001-06-22,-0.000369776901269465
2001-06-25,0.00139745170571301
2001-06-26,-0.0121080282383845
2001-06-27,0.00864182143005531
2001-06-28,0.0114099765209869
2001-06-29,0.000529445304227399
2001-07-02,-0.000447755118655046
2001-07-03,0.00431666395178369
2001-07-04,-0.00056767496553408
2001-07-05,0.000851996105160694
2001-07-06,-0.00871539178726339
2001-07-09,0.00502985196695845
2001-07-10,0.00219717622167064
2001-07-11,-0.00539969956558813
2001-07-12,-0.0060821291534002
2001-07-13,-0.00168384738592959
2001-07-16,-0.00789863419450393
2001-07-17,-0.00107812240835956
2001-07-18,-0.00220008302200083
2001-07-19,0.0129383866539085
2001-07-20,-0.00718744866108099
2001-07-23,-0.00314400364042523
2001-07-24,-0.00444038677013733
2001-07-25,-0.00962901208837016
2001-07-26,0.00151521528683861
2001-07-27,0.0118092036142047
2001-07-30,0.00942847649111152
2001-07-31,0.00526683948483727
2001-08-01,0.0110924644918342
2001-08-02,0.000647720832321256
2001-08-03,-0.00574480135933334
2001-08-06,-0.0022379557291666
2001-08-07,-0.00995065454100566
2001-08-08,-0.00918564896815924
2001-08-09,-0.0145921676228486
2001-08-10,-0.00341728895076574
2001-08-13,0.00436034205401745
2001-08-14,0.00320337197049522
2001-08-15,0.00126045124154452
2001-08-16,-0.00440602576476023
2001-08-17,-0.00160161847761947
2001-08-20,-0.00569908814589663
2001-08-21,-0.00263236105803933
2001-08-22,-0.00676854965731558
2001-08-23,0.00235727755871769
2001-08-24,0.00598623166716554
2001-08-27,-0.00165766991116596
2001-08-28,-0.0118784059945504
2001-08-29,-0.0133999741479599
2001-08-30,-0.0170757271377413
2001-08-31,-0.00231039232238851
2001-09-03,-0.0102427076374973
