"Data","GVSK10YR Index"
2001-01-04,0
2001-01-05,0.000240752262550862
2001-01-09,0.000480515746662409
2001-01-10,0.000241349911460551
2001-01-11,0.000235406791273372
2001-01-12,0.000239519328526916
2001-01-15,0.000239108265735503
2001-01-16,0.000235556412466509
2001-01-17,0.000232600353247534
2001-01-18,0.000229192552429616
2001-01-19,0.000229267480479817
2001-01-22,0.000250043032448829
2001-01-23,0.000250043032448894
2001-01-24,0.000250043032448717
2001-01-25,0.000249670326344786
2001-01-26,0.000250341172236317
2001-01-29,0.000252650999619168
2001-01-30,0.000250117569486551
2001-01-31,0.000252204040729125
2001-02-01,0.000252166791892077
2001-02-02,0.00025019210513084
2001-02-05,0.000249483960220217
2001-02-06,0.00024750794327795
2001-02-07,0.000242358240793681
2001-02-08,0.000242246216799455
2001-02-09,0.000237239263910485
2001-02-13,0.000461659504498052
2001-02-14,0.00023057849335607
2001-02-15,0.000233086944127541
2001-02-16,0.000232824941036759
2001-02-19,0.000240714906517692
2001-02-20,0.000238248633765582
2001-02-21,0.000254326649126468
2001-02-22,0.000259498099289395
2001-02-23,0.00027249009013765
2001-02-26,0.00026900497067115
2001-02-27,0.000265294047852479
2001-02-28,0.000248365580408125
2001-03-01,0.000248067292775651
2001-03-02,0.00025019210513074
2001-03-05,0.000251086424135206
2001-03-06,0.000258122181525862
2001-03-07,0.000269895078193024
2001-03-08,0.00027471304194277
2001-03-09,0.000267001501543294
2001-03-12,0.000271229866815531
2001-03-13,0.000271415218769986
2001-03-14,0.000265071282557468
2001-03-15,0.000260724868517833
2001-03-16,0.000260092943653759
2001-03-19,0.000261914102374927
2001-03-21,0.000533814372083421
2001-03-22,0.000271711763967614
2001-03-23,0.000273416470753392
2001-03-26,0.000266222102568389
2001-03-27,0.000266815944184296
2001-03-28,0.000271971222914963
2001-03-29,0.000278045146417364
2001-03-30,0.000289132082745197
2001-04-02,0.000298531788040298
2001-04-03,0.000296506275023684
2001-04-04,0.000290903133721438
2001-04-05,0.00030022506326395
2001-04-06,0.000300261865605817
2001-04-09,0.000298347693027239
2001-04-10,0.000291530192251981
2001-04-11,0.000290054603340184
2001-04-12,0.000289907014394916
2001-04-13,0.000291087572943345
2001-04-16,0.00029108757294345
2001-04-17,0.00028964872058737
2001-04-18,0.000291419542033495
2001-04-19,0.000290792466091117
2001-04-20,0.000291198232379075
2001-04-23,0.000297242944329623
2001-04-24,0.000297537573927772
2001-04-25,0.000299452135563788
2001-04-26,0.000302064764170694
2001-04-27,0.000300225063263705
2001-05-01,0.000597962774168551
2001-05-02,0.000292230905634738
2001-05-07,0.000583108398265216
2001-05-08,0.000291640839398402
2001-05-09,0.000289390410038238
2001-05-10,0.000289427312570533
2001-05-11,0.000291124459763367
2001-05-14,0.000292341533328237
2001-05-15,0.000294958826097498
2001-05-16,0.00029529047288277
2001-05-17,0.0002949219747507
2001-05-18,0.000294406020116014
2001-05-21,0.00029212027487017
2001-05-22,0.000291161346242059
2001-05-23,0.000290423551792366
2001-05-24,0.000287027936937809
2001-05-25,0.000286991012181002
2001-05-28,0.000283740293087058
2001-05-29,0.000282113938646731
2001-05-30,0.000290644904469708
2001-05-31,0.000278785235876938
2001-06-01,0.000278378203682787
2001-06-04,0.000277601026760465
2001-06-05,0.000280560890015492
2001-06-06,0.000278156168598808
2001-06-07,0.000280560890015512
2001-06-08,0.000277156857603734
2001-06-11,0.000277489989112619
2001-06-12,0.000278230181668132
2001-06-13,0.000277452975875572
2001-06-14,0.000277230889234463
2001-06-15,0.00027634241888522
2001-06-18,0.000282113938646595
2001-06-19,0.000281041660222029
2001-06-20,0.000273527621957477
2001-06-21,0.000270265897658246
2001-06-22,0.000271118651504517
2001-06-25,0.000264291505947273
2001-06-26,0.000264291505947488
2001-06-27,0.000263585862277137
2001-06-28,0.000264291505947349
2001-06-29,0.000264291505947335
2001-07-02,0.00026429150594748
2001-07-03,0.000265182666761452
2001-07-04,0.000265925148573154
2001-07-05,0.000263845850797817
2001-07-06,0.000263437289792244
2001-07-09,0.000263065834344835
2001-07-10,0.000263065834344806
2001-07-11,0.000262991539100178
2001-07-12,0.000262991539100093
2001-07-13,0.000263808710619157
2001-07-16,0.000264477180885094
2001-07-17,0.000264477180885168
2001-07-18,0.000263325856793437
2001-07-19,0.000258680043282572
2001-07-23,0.00051876597590638
2001-07-24,0.000260947876900494
2001-07-25,0.000259275009759306
2001-07-26,0.000257043427307624
2001-07-27,0.000258531287783018
2001-07-30,0.000258791606263143
2001-07-31,0.000258717231289924
2001-08-01,0.000256076020024365
2001-08-02,0.000256076020024531
2001-08-03,0.000254810594506678
2001-08-06,0.000255033934092244
2001-08-07,0.000254587242403217
2001-08-08,0.000253730943353838
2001-08-09,0
2001-08-10,0
2001-08-13,0.000237874822887947
2001-08-14,0.000239780891864361
2001-08-15,0
2001-08-16,0
2001-08-17,0.00023765051952901
2001-08-20,0.000226981540901543
2001-08-21,0.000228630547140514
2001-08-22,0.000227131478759877
2001-08-23,0.000229379869914137
2001-08-24,0.000233910270286581
2001-08-27,0.000237276652538901
2001-08-28,0.000236566208609966
2001-08-29,0.000233910270286486
2001-08-30,0.000238360770191535
2001-08-31,0.000239556695769223
2001-09-03,0.000235855638000804
2001-09-04,0.000236154841068951
2001-09-05,0.000238809284343409
2001-09-06,0.000240939037463613
2001-09-07,0.000241536658364956
2001-09-10,0.00024269429388187
2001-09-11,0.000244224843887897
2001-09-12,0.00023985562109324
2001-09-13,0.000235780833723593
2001-09-14,0.000235556412466579
2001-09-17,0.000242507601220317
