"Data","TPX Index"
2001-01-04,0
2001-01-05,0.0125532811841303
2001-01-09,-0.0197761021418329
2001-01-10,-0.0135916373675641
2001-01-11,-0.0191294085751421
2001-01-12,0.00632468904967092
2001-01-15,0.00869228035027627
2001-01-16,0.0150884161968221
2001-01-17,0.0101855650582258
2001-01-18,0.0239145885238091
2001-01-19,0.0013577318250814
2001-01-22,0.000167582019972751
2001-01-23,-0.00374711540658493
2001-01-24,-0.00307318303786435
2001-01-25,-0.00282193440536155
2001-01-26,-0.00457555041179957
2001-01-29,0.00292790704860786
2001-01-30,0.000238786655677303
2001-01-31,0.00130146164153592
2001-02-01,-0.000938295532328917
2001-02-02,-0.00871432860409076
2001-02-05,-0.0195000349462993
2001-02-06,-0.00468881179806416
2001-02-07,0.00860216765075672
2001-02-08,-0.0140437249007866
2001-02-09,0.0130674498067489
2001-02-13,-0.00499999999999994
2001-02-14,-0.0035406098422603
2001-02-15,0.0034974227420112
2001-02-16,-0.00897904096538579
2001-02-19,-0.00840349598250407
2001-02-20,0.00905639037001134
2001-02-21,-0.00658121232015759
2001-02-22,0.00104771959799801
2001-02-23,0.0125031197417256
2001-02-26,0.00584437270399655
2001-02-27,-0.00796856842454756
2001-02-28,-0.0106861956028019
2001-03-01,-0.0114460160453652
2001-03-02,-0.0223504200379705
2001-03-05,-0.00508401120149346
2001-03-06,0.0236316115737095
2001-03-07,0.0116125864397071
2001-03-08,4.85381914669418e-05
2001-03-09,0.00126193172625784
2001-03-12,-0.0256754136504653
2001-03-13,-0.0293537206255494
2001-03-14,-0.00735532812793649
2001-03-15,0.0187784538327151
2001-03-16,0.0115561037008254
2001-03-19,0.001787101138233
2001-03-21,0.0631872025074817
2001-03-22,-0.012717479085157
2001-03-23,0.0177971553141304
2001-03-26,0.043718789013733
2001-03-27,-0.00595082347136356
2001-03-28,0.00573074522249873
2001-03-29,-0.0389519102064623
2001-03-30,-0.00617024587612828
2001-04-02,-0.00696015721029999
2001-04-03,0.0201674577019505
2001-04-04,0.00804507094500592
2001-04-05,0.0103191579076489
2001-04-06,-0.0030884104930074
2001-04-09,-0.0238475825112653
2001-04-10,-0.0146440741404989
2001-04-11,0.0214299845685118
2001-04-12,0.00821240693251099
2001-04-13,-0.00163678697947475
2001-04-16,-0.00390240147783246
2001-04-17,-0.00664539111217585
2001-04-18,0.0271327779203909
2001-04-19,0.0132610325580691
2001-04-20,-0.00587479071992356
2001-04-23,0.000939807226741651
2001-04-24,-0.00248627291915478
2001-04-25,0.0100903614457832
2001-04-26,0.0133368122856716
2001-04-27,0.00527481258598244
2001-05-01,0.0331001273363289
2001-05-02,0.00889005376534505
2001-05-07,0.0117466157389204
2001-05-08,-0.0209650443798275
2001-05-09,-0.0130638804615952
2001-05-10,-0.00795788354772211
2001-05-11,-0.00325067873303168
2001-05-14,-0.00908655103285975
2001-05-15,0.0106945207989737
2001-05-16,-0.0158176438165414
2001-05-17,0.0146717463873312
2001-05-18,-0.0038999520676283
2001-05-21,0.0086178612830553
2001-05-22,-0.00262398889684045
2001-05-23,-0.00328317968342318
2001-05-24,-0.00679886273568778
2001-05-25,-0.00431955955135158
2001-05-28,-0.00750746334504922
2001-05-29,0.0043414804003646
2001-05-30,-0.0191055081401268
2001-05-31,-0.014228452392591
2001-06-01,-0.000549278690275499
2001-06-04,0.00311428985794881
2001-06-05,-0.00503740003195943
2001-06-06,-2.29436732820716e-05
2001-06-07,0.00314335535976515
2001-06-08,0.00492516944565145
2001-06-11,-0.00632733728349348
2001-06-12,-0.0278984539034167
2001-06-13,-0.000376999866479228
2001-06-14,-0.000707141341840053
2001-06-15,-0.00511860861907644
2001-06-18,-0.00448107988493017
2001-06-19,-0.00433453737149211
2001-06-20,0.0023441424345594
2001-06-21,0.0249457096720307
2001-06-22,0.012860014435502
2001-06-25,-0.0104822766769343
2001-06-26,0.0035233626043457
2001-06-27,-0.00583364842236862
2001-06-28,-0.00746679913378912
2001-06-29,0.0173841642228739
2001-07-02,-0.0108072376208704
2001-07-03,0.00505081900972865
2001-07-04,-0.0119218815234031
2001-07-05,-0.00258998435054769
2001-07-06,-0.0165765794036198
2001-07-09,-0.0124924215833306
2001-07-10,0.009241457306729
2001-07-11,-0.0174252005058671
2001-07-12,0.0171558444732277
2001-07-13,-0.00369204648294541
2001-07-16,-0.00145496053118113
2001-07-17,-0.0147318086313908
2001-07-18,-0.0198053778464103
2001-07-19,-0.00368434652862877
2001-07-23,-0.0263459527295545
2001-07-24,0.0138344675878187
2001-07-25,0.00783991321004187
2001-07-26,0.0026406303874327
2001-07-27,-0.00672677710211783
2001-07-30,-0.0132744483757378
2001-07-31,0.0186562374305739
2001-08-01,0.0138955398173585
2001-08-02,0.0235406222811452
2001-08-03,-0.0124184382235318
2001-08-06,-0.00104924913109054
2001-08-07,0.0047101687126633
2001-08-08,-0.00527613976053189
2001-08-09,-0.0270789542827115
2001-08-10,-0.00206761523790238
2001-08-13,-0.0130233659481265
2001-08-14,0.0272215510371951
2001-08-15,-0.00377858966017715
2001-08-16,-0.0161261962774108
2001-08-17,-0.00447632906975754
2001-08-20,-0.0125319496328462
2001-08-21,0.00317707657014227
2001-08-22,0.00579900243350997
2001-08-23,-0.0155721811349245
2001-08-24,-0.00178666364531692
2001-08-27,0.00858260429217539
2001-08-28,-0.0042591133772519
2001-08-29,-0.0203347098456858
2001-08-30,-0.0108975382922457
2001-08-31,-0.00978844048879386
2001-09-03,-0.0289398099069469
2001-09-04,0.0264992115551492
2001-09-05,-0.011280485033587
