"Data","TWSE Index"
2001-01-03,0
2001-01-04,0.0493054860371947
2001-01-05,0.0310350400009345
2001-01-08,-0.0202094974440707
2001-01-09,0.0361587430688193
2001-01-10,0.0112832302850383
2001-01-11,-0.0124227943746114
2001-01-12,-0.00555758356862426
2001-01-15,0.00754017305315208
2001-01-16,0.0526576028968373
2001-01-17,0.0188965449042371
2001-01-18,0.0135113822476798
2001-01-29,-0.0287025621119339
2001-01-30,0.0197955655398006
2001-01-31,0.0248079413034096
2001-02-01,-0.00644688521276229
2001-02-02,0.025658154640696
2001-02-05,-0.0193147591606246
2001-02-06,-0.0140516012015332
2001-02-07,-0.0265820490813909
2001-02-08,0.0114198799349443
2001-02-09,0.0088979960407043
2001-02-12,0.00640809385456391
2001-02-13,0.0308564802542128
2001-02-14,-0.0231953931072469
2001-02-15,0.036781890320126
2001-02-16,-0.00959497005360204
2001-02-19,-0.0179252258227789
2001-02-20,0.00572482441513816
2001-02-21,-0.00357209246243273
2001-02-22,-0.0320876106730129
2001-02-23,-0.0055755820414513
2001-02-26,-0.00190503463461224
2001-02-27,-0.00723055552639788
2001-03-01,-0.0308087314020678
2001-03-02,-5.81832992111997e-05
2001-03-05,0.0200380395451256
2001-03-06,0.00451357816939834
2001-03-07,0.025211798987056
2001-03-08,-0.0114433983656244
2001-03-09,-0.00535631113181186
2001-03-12,-0.017209964738585
2001-03-13,0.00496715729212
2001-03-14,0.00852167403393705
2001-03-15,0.0149393536118313
2001-03-16,0.00717253436512893
2001-03-19,-0.0245576969292505
2001-03-20,0.000143568910418227
2001-03-21,-0.00341680401226359
2001-03-22,0.0191218155499678
2001-03-23,0.01214458335878
2001-03-26,0.0165105033143408
2001-03-27,-0.00203347172473675
2001-03-28,-0.0110360907698922
2001-03-29,0.0024899516959681
2001-03-30,-0.00616399377429773
2001-04-02,-0.0328031431961808
2001-04-03,-0.028694320161634
2001-04-04,-0.00752182007116067
2001-04-06,0.0202151373049566
2001-04-09,-0.0205434867355802
2001-04-10,-0.00894696797196504
2001-04-11,0.021341178668161
2001-04-12,0.0119738466462439
2001-04-13,-0.00682242889312191
2001-04-16,-0.0114985615425069
2001-04-17,-6.0747973226698e-05
2001-04-18,0.014112795589061
2001-04-19,0.0181334311196473
2001-04-20,-0.00211643041811534
2001-04-23,0.000191186481864927
2001-04-24,-0.00149347053254009
2001-04-25,-0.0130856237051245
2001-04-26,0.000458649070011919
2001-04-27,-0.0184933852534912
2001-04-30,-0.00646153448520955
2001-05-02,-0.0143877272296518
2001-05-03,0.0190979292038068
2001-05-07,-0.0324870410726772
2001-05-08,-0.0101760444212447
2001-05-09,0.010804159398537
2001-05-10,-0.0211117141634051
2001-05-11,0.0215826495411125
2001-05-14,-0.0107534895809446
2001-05-15,-0.00341160447797233
2001-05-16,-0.0148813966065685
2001-05-17,0.0120857454319344
2001-05-18,-0.00617679996267081
2001-05-21,-0.0299432475101093
2001-05-22,0.00662887381746092
2001-05-23,0.0437725884907884
2001-05-24,0.00322842549957096
2001-05-25,-0.0108498715272663
2001-05-28,-0.0174774858416117
2001-05-29,0.00305922373674139
2001-05-30,-0.00749520142249866
2001-05-31,-0.00162346971665412
2001-06-01,-0.00691245152371023
2001-06-04,-0.00575393501344254
2001-06-05,0.0160377604506221
2001-06-06,0.0306768330483744
2001-06-07,-0.0128514071610821
2001-06-08,0.0141519594050471
2001-06-11,0.00861415768003253
2001-06-12,-0.000959915011477321
2001-06-13,-0.0107344139272042
2001-06-14,-0.017375247374614
2001-06-15,0.00770434385127345
2001-06-18,-0.0170801162324105
2001-06-19,-0.00602305089024417
2001-06-20,-0.00205159544283891
2001-06-21,-0.00889924527401568
2001-06-22,-0.016156858339619
2001-06-26,-0.0243090813442788
2001-06-27,0.00839268398702642
2001-06-28,-0.0117568306916903
2001-06-29,0.0240911807572533
2001-07-02,0.000702375174825764
2001-07-03,-0.00880729138956303
2001-07-10,-0.0468865482202063
2001-07-11,-0.0148200775010776
2001-07-12,0.0187433079245167
2001-07-13,-0.031910806856097
2001-07-16,-0.0260807725918926
2001-07-17,0.000755375181118409
2001-07-18,-0.0347896495646146
2001-07-19,-0.00689828407849507
2001-07-20,0.00705119333393788
2001-07-23,-0.0162072634130506
2001-07-24,-0.0267730910684911
2001-07-25,0.0236638066507127
2001-07-26,0.0396529340802003
2001-07-27,0.00469257582416567
2001-07-31,0.00749666133560449
2001-08-01,0.000353780628443244
2001-08-02,0.0311561320191431
2001-08-03,0.00901743578779533
2001-08-06,-0.013232009323104
2001-08-07,-0.0149259740579278
2001-08-08,0.0250000000000001
2001-08-09,-0.0145278128530604
2001-08-10,0.00638189779971753
2001-08-13,0.00979470214947371
2001-08-14,0.0152275281147418
2001-08-15,0.00730128987275564
2001-08-16,0.0138910819772837
2001-08-17,-0.0104473122225233
2001-08-20,-0.018972222940867
2001-08-21,0.00271846623124322
2001-08-22,-0.0164835526099504
2001-08-23,-0.00618604485328204
2001-08-24,-0.0335085296069745
2001-08-27,0.0172214591956051
2001-08-28,-0.00368794973258375
2001-08-29,0.0321194584720193
2001-08-30,-0.00107126460235677
2001-08-31,0.00123893726714417
2001-09-03,-0.012123456571104
2001-09-04,0.00870078589915962
2001-09-05,-0.0152708449704352
2001-09-06,-0.0195823191884128
2001-09-07,-0.00832130854305652
2001-09-10,-0.0030356844003941
2001-09-11,-0.0261523396516752
2001-09-13,-0.0537332442727076
2001-09-14,-0.0450020113902881
2001-09-19,0.00173527401433792
2001-09-20,-0.021773683806864
2001-09-21,-0.0289252846838469
