"Data","GVTW10YR Index"
2001-01-03,0
2001-01-04,0.000202616816961289
2001-01-05,0.000202616816961439
2001-01-08,0.000202390520146079
2001-01-09,0.000201975609271846
2001-01-10,0.000201862444262401
2001-01-11,0.000201447478397297
2001-01-12,0.000201673828771415
2001-01-15,0.000198277222401054
2001-01-16,0.000203823516314344
2001-01-17,0.000199787182674839
2001-01-18,0.000203748108309213
2001-01-29,0.00144243055746995
2001-01-30,0.000197748601103095
2001-01-31,0.00019642674097688
2001-02-01,0.000201032469314952
2001-02-02,0.000193592706152155
2001-02-05,0.000202428237174591
2001-02-06,0.000191588772074224
2001-02-07,0.00019177786551606
2001-02-08,0.000191134911200107
2001-02-09,0.000189697343969453
2001-02-12,0.000190113535188964
2001-02-13,0.000190302698647003
2001-02-14,0.000189583829728899
2001-02-15,0.000189659506248557
2001-02-16,0.000189659506248379
2001-02-19,0.000189697343969561
2001-02-20,0.000189697343969407
2001-02-21,0.000187918582580076
2001-02-22,0.000187918582580171
2001-02-23,0.00018572242026005
2001-02-26,0.000182767050892567
2001-02-27,0.000184282898730701
2001-03-01,0.000370112961701839
2001-03-02,0.000188410659853879
2001-03-05,0.000187918582580124
2001-03-06,0.000188069997444081
2001-03-07,0.000179619825760412
2001-03-08,0.000179619825760386
2001-03-09,0.000183638733856458
2001-03-12,0.000183790311430675
2001-03-13,0.000185533039240617
2001-03-14,0.000182008910678701
2001-03-15,0.000182046821115049
2001-03-16,0.00018166770051716
2001-03-19,0.000182615434388841
2001-03-20,0.000175748744026411
2001-03-21,0.000180492197384697
2001-03-22,0.000179278410955812
2001-03-23,0.000173431887059749
2001-03-26,0.00017870932126845
2001-03-27,0.000175672802858254
2001-03-28,0.000181819353085037
2001-03-29,0.000182046821115037
2001-03-30,0.000182539623973307
2001-04-02,0.000181364378066334
2001-04-03,0.000178026306342867
2001-04-04,0.000175710773623154
2001-04-06,0.000352895296027351
2001-04-09,0.000175976558847114
2001-04-10,0.000175179149985791
2001-04-11,0.000175482943606192
2001-04-12,0.000176014526717572
2001-04-13,0.000177684754972712
2001-04-16,0.000177684754972852
2001-04-17,0.000179581892226846
2001-04-18,0.000179354283440415
2001-04-19,0.000182918661627904
2001-04-20,0.000184207120032219
2001-04-23,0.00018738858524266
2001-04-24,0.000180605970909194
2001-04-25,0.000180833508212646
2001-04-26,0.000180605970909138
2001-04-27,0.000179733624194995
2001-04-30,0.000180037070800238
2001-05-02,0.000363896535663221
2001-05-03,0.000182729147307472
2001-05-04,0
2001-05-07,0
2001-05-08,0.00017719135130357
2001-05-09,0.00017810220267187
2001-05-10,0.000178026306342739
2001-05-11,0.000180985192530896
2001-05-14,0.000179240474171771
2001-05-15,0.000179468089458771
2001-05-16,0.000177988357636472
2001-05-17,0.000177874509348273
2001-05-18,0.000179278410956048
2001-05-21,0.000176128428158521
2001-05-22,0.000174609474514007
2001-05-23,0.000173621844059727
2001-05-24,0.000180795586231181
2001-05-25,0.000173621844059978
2001-05-28,0.000173621844059598
2001-05-29,0.000173621844059765
2001-05-30,0.000173621844059787
2001-05-31,0.00015500105211061
2001-06-01,0.000152977611041156
2001-06-04,0.00015064747232744
2001-06-05,0.00016346544959567
2001-06-06,0.000152519330745938
2001-06-07,0.000150647472327434
2001-06-08,0.000150723891927252
2001-06-11,0.000151870010089722
2001-06-12,0.000151449805039869
2001-06-13,0.000151831811461787
2001-06-14,0.000151296992216143
2001-06-15,0.000148621818711121
2001-06-18,0.000147589485903815
2001-06-19,0.000147589485904177
2001-06-20,0.000147207072537078
2001-06-21,0.000146021357812866
2001-06-22,0.000146097866185344
2001-06-26,0.000294473742970218
2001-06-27,0.000143036384867045
2001-06-28,0.000142308937259884
2001-06-29,0.000150647472327272
2001-07-02,0.00014349575704444
2001-07-03,0.000142232356101226
2001-07-04,0
2001-07-05,0
2001-07-06,0
2001-07-09,0
2001-07-10,0
2001-07-11,0.00013567921842071
2001-07-12,0.000135717572208816
2001-07-13,0.000135870983669338
2001-07-16,0.000136522916489872
2001-07-17,0.000136522916489826
2001-07-18,0.000136906356564371
2001-07-19,0.000141504761679819
2001-07-20,0.000138056455445862
2001-07-23,0.000142500383717133
2001-07-24,0.000135564154841648
2001-07-25,0.000137289759743551
2001-07-26,0.000143534035668854
2001-07-27,0.000143572313925393
2001-07-31,0.00028260714086812
2001-08-01,0.000138976295600579
2001-08-02,0.000139091260690853
2001-08-03,0.000143916801689131
2001-08-06,0.000152099194168252
2001-08-07,0.000149501002419136
2001-08-08,0.000151526209254176
2001-08-09,0.000149156997113541
2001-08-10,0.000149921413020662
2001-08-13,0.000151144173531751
2001-08-14,0.000149042322078167
2001-08-15,0.00014908054745678
2001-08-16,0.000156794565168407
2001-08-17,0.000152290170831499
2001-08-20,0.00014854535878555
2001-08-21,0.000153359471028918
2001-08-22,0.000151067761991845
2001-08-23,0.000152595714455516
2001-08-24,0.000149730322791284
2001-08-27,0.000153053985966358
2001-08-28,0.000149844978028555
2001-08-29,0.000152977611041231
2001-08-30,0.000151449805039835
2001-08-31,0.000148851189685269
2001-09-03,0.000148660048123554
2001-09-04,0.000146097866185349
2001-09-05,0.000147245315525638
2001-09-06,0.00014334263886938
2001-09-07,0.000143380918964847
2001-09-10,0.000142270646864614
2001-09-11,0.000142385516946317
2001-09-13,0.000275894036650137
2001-09-14,0.000129998783387914
2001-09-19,0.000131246870292292
2001-09-20,0.000131246870292481
2001-09-21,0.000131246870292201
2001-09-24,0.000126048412574383
2001-09-25,0.00012519480247779
2001-09-26,0.000123521657691197
