"Data","KOSPI Index"
2001-01-02,0
2001-01-03,0.000921393607831662
2001-01-04,0.0701724104865467
2001-01-05,0.0409125120963407
2001-01-08,0.00998536627356452
2001-01-09,0.00557402198926103
2001-01-10,-0.0493456739896935
2001-01-11,0.00174747240598423
2001-01-12,0.0464230406379609
2001-01-15,0.0189327572422474
2001-01-16,0.00737896494156921
2001-01-17,-0.0125783036690861
2001-01-18,0.01379588137556
2001-01-19,0.0260408906547472
2001-01-22,0.0123753589983544
2001-01-26,-0.0569288389513109
2001-01-29,0.00812870734963572
2001-01-30,-0.00871693432125244
2001-01-31,0.0449318496972976
2001-02-01,-0.00907899208622617
2001-02-02,-0.00623877184386728
2001-02-05,-0.0481856429134894
2001-02-06,0.0128116582636924
2001-02-07,-0.0177128439428552
2001-02-08,0.0266925840434579
2001-02-09,0.00659262640093307
2001-02-12,0.00626395956135493
2001-02-13,-0.000700934579439374
2001-02-14,0.008433815424697
2001-02-15,-0.00033121905171993
2001-02-16,0.00213707072213105
2001-02-19,-0.0136381670303511
2001-02-20,0.020228937268507
2001-02-21,-0.0233432992739101
2001-02-22,-0.0187038501000791
2001-02-23,0.000188546648154837
2001-02-26,0.00308472717301904
2001-02-27,-0.0132406205152737
2001-02-28,0.00091763768893809
2001-03-02,-0.0322781525687597
2001-03-05,0.0106177606177605
2001-03-06,0.00489935972266437
2001-03-07,0.000862448297104654
2001-03-08,0.0187113111986494
2001-03-09,-0.0233393177737881
2001-03-12,-0.0366056278280544
2001-03-13,-0.031336574626181
2001-03-14,0.0289978597268783
2001-03-15,-0.00266897364158432
2001-03-16,-0.00583208755513737
2001-03-19,-0.00805688083613329
2001-03-20,-0.00512791720472369
2001-03-21,0.00188114900581275
2001-03-22,-0.0104019977844122
2001-03-23,0.0207190968598806
2001-03-26,0.0148893060951354
2001-03-27,-0.0239569214989561
2001-03-28,-0.00771251641959094
2001-03-29,-0.00943663836305529
2001-03-30,-0.00110729285987004
2001-04-02,-0.015328160238523
2001-04-03,-0.0231754658385094
2001-04-04,-0.0190160155784286
2001-04-06,0.0253802993781523
2001-04-09,-0.017304729169136
2001-04-10,-0.0125638242270735
2001-04-11,0.0332240793143462
2001-04-12,0.0131617835398894
2001-04-13,0.00367554112133172
2001-04-16,-0.0150164696764193
2001-04-17,0.0110553752335989
2001-04-18,0.0506449792789462
2001-04-19,0.0431666666666666
2001-04-20,-0.0124620546413165
2001-04-23,0.00835894946880241
2001-04-24,-0.00944842585659797
2001-04-25,0.0192570729249155
2001-04-26,-0.00833421619521847
2001-04-27,-0.00888501121754925
2001-04-30,0.037241974022241
2001-05-02,0.0109810170430928
2001-05-03,0.00119924618811021
2001-05-04,0.00205338809034915
2001-05-07,0.018613387978142
2001-05-08,-0.00937133277451808
2001-05-09,-0.02042612242135
2001-05-10,0.00438808651786325
2001-05-11,0.0028896762874539
2001-05-14,0.00174939114327873
2001-05-15,-0.00475962196959335
2001-05-16,-0.0153105109237915
2001-05-17,0.041911250873515
2001-05-18,0.00695853384530253
2001-05-21,0.0306723948446399
2001-05-22,-0.0015671448881996
2001-05-23,0.00745966763216235
2001-05-24,-0.000513973658850064
2001-05-25,0.00294079835443858
2001-05-28,-0.00903686850074504
2001-05-29,0.021957411030446
2001-05-30,-0.00574321651768056
2001-05-31,-0.0258744152000254
2001-06-01,-0.00831481965499203
2001-06-04,0.00632546493814538
2001-06-05,-0.0216889558200062
2001-06-07,0.00582270856339728
2001-06-08,0.0343347639484978
2001-06-11,-0.0217922737945897
2001-06-12,-0.00177564408200852
2001-06-13,0.0113645721815037
2001-06-14,-0.000488559563553383
2001-06-15,0.00848879837067216
2001-06-18,-0.0164469432596615
2001-06-19,0.000213541837773901
2001-06-20,-0.021661657716247
2001-06-21,-0.000318941784731173
2001-06-22,0.00596107668799232
2001-06-25,-0.00176937971556396
2001-06-26,-0.0155680412026353
2001-06-27,-0.00670958536461084
2001-06-28,-0.00254805390245572
2001-06-29,0.0203336362233614
2001-07-02,0.00270529128089663
2001-07-03,-0.004072125213661
2001-07-04,0.00494691322710379
2001-07-05,-0.00609460025115109
2001-07-06,-0.0253870386280555
2001-07-09,-0.0320461852248764
2001-07-10,-0.00249999999999996
2001-07-11,-0.00886143931256721
2001-07-12,0.011379030073151
2001-07-13,-0.0204661130458077
2001-07-16,0.000802202410253498
2001-07-18,-0.0153024975862131
2001-07-19,0.00963868795441518
2001-07-20,-0.0147139663576061
2001-07-23,-0.0251064700303137
2001-07-24,0.00459739417409047
2001-07-25,-0.00102540731457211
2001-07-26,0.00596867396593671
2001-07-27,0.0225048184120025
2001-07-30,-0.0140446842718016
2001-07-31,0.0150319569658688
2001-08-01,0.0392207552395901
2001-08-02,0.0082979441710053
2001-08-03,0.00216755366016991
2001-08-06,0.00119573053860618
2001-08-07,-0.0032843318053287
2001-08-08,-0.002748898678414
2001-08-09,-0.0287486305968832
2001-08-10,0.0103152800771373
2001-08-13,0.0119926531494219
2001-08-14,0.0269572953736654
2001-08-16,0.00658407692974109
2001-08-17,6.88527411996964e-05
2001-08-20,-0.0239246802870961
2001-08-21,0.0028037877585567
2001-08-22,0.0108848561581207
2001-08-23,-0.00834971384834824
2001-08-24,-0.00133316961074974
2001-08-27,0.0165639106989163
2001-08-28,-0.00385319832740094
2001-08-29,-0.0188721791469359
2001-08-30,-0.00224528401958874
2001-08-31,-0.0341094336948047
2001-09-03,-0.00601713415640875
2001-09-04,0.031301330675673
2001-09-05,-0.0123123176864296
2001-09-06,0.00123208494138549
2001-09-07,0.00450605331258258
