"Data","HEX Index"
2001-01-02,0
2001-01-03,-0.0710845303740955
2001-01-04,0.0898239866509547
2001-01-05,0.00346992407640837
2001-01-08,-0.0266223737325083
2001-01-09,-0.066855824793283
2001-01-10,-0.0126133831698962
2001-01-11,0.0434127275625255
2001-01-12,0.0199556007186242
2001-01-15,-0.000840007130293059
2001-01-16,-0.0451370191661461
2001-01-17,0.0421875879814558
2001-01-18,-0.00200233961022316
2001-01-19,-0.00312683276940435
2001-01-22,-0.0173815305192983
2001-01-23,-0.0131888670888779
2001-01-24,0.00963393098836687
2001-01-25,-0.0233906430703853
2001-01-26,-0.0109435592558106
2001-01-29,-0.0120157042095425
2001-01-30,-0.0411321808255324
2001-01-31,0.0173917596033559
2001-02-01,-0.0343225277587438
2001-02-02,-0.00993408130315404
2001-02-05,-0.0189712235310781
2001-02-06,0.0287217474834782
2001-02-07,-0.0489458014510083
2001-02-08,-0.0116728416802597
2001-02-09,-0.0692635952526237
2001-02-12,0.0235493548231847
2001-02-13,-0.00568004898467563
2001-02-14,-0.0573487964455578
2001-02-15,0.0750346980295978
2001-02-16,-0.0532471666944924
2001-02-19,-0.0177111343559862
2001-02-20,0.00208292680207181
2001-02-21,-0.0353150109660471
2001-02-22,-0.0536596281659987
2001-02-23,-0.0469231838093869
2001-02-26,0.0232783283392738
2001-02-27,0.0192106042635518
2001-02-28,-0.00698342861206971
2001-03-01,-0.012677094665766
2001-03-02,0.0483227251635627
2001-03-05,0.0396073860294424
2001-03-06,0.0374752546263089
2001-03-07,-0.01867084056945
2001-03-08,-0.0367908056238453
2001-03-09,-0.0156580598048946
2001-03-12,-0.0604697003561867
2001-03-13,0.0239310918181025
2001-03-14,-0.00465038106431072
2001-03-15,0.0809604453836393
2001-03-16,-0.0150524048815505
2001-03-19,0.0225872282862206
2001-03-20,0.0319572944808295
2001-03-21,-0.0415642626023305
2001-03-22,-0.0466724316845383
2001-03-23,0.0572699532305058
2001-03-26,0.0422616575895161
2001-03-27,-0.0266782422016053
2001-03-28,-0.0130411249309322
2001-03-29,-0.0438482939062777
2001-03-30,-0.00309487648574978
2001-04-02,-0.00232057218405884
2001-04-03,-0.0487696749289054
2001-04-04,-0.0083271444954707
2001-04-05,0.052942412644637
2001-04-06,-0.0129837926367114
2001-04-09,0.00617777935731964
2001-04-10,0.0509348014079876
2001-04-11,0.0317425180999224
2001-04-17,-0.0259514871304077
2001-04-18,0.0967231169310429
2001-04-19,0.0225014116615335
2001-04-20,0.0177909227215793
2001-04-23,-0.0107587505784546
2001-04-24,-0.00336037292989789
2001-04-25,-0.00999930311303504
2001-04-26,0.0140464239020051
2001-04-27,0.0437166949100637
2001-04-30,0.0429458413699477
2001-05-02,0.00391348873500435
2001-05-03,-0.0254221217485533
2001-05-04,0.00574059855972238
2001-05-07,0.0072165144959304
2001-05-08,-0.012019885847514
2001-05-09,-0.0149052463823915
2001-05-10,0.0377467269966147
2001-05-11,-0.0206456678012086
2001-05-14,-0.0246452397943664
2001-05-15,0.00545120543433592
2001-05-16,-0.00462859545295356
2001-05-17,0.0510974084774265
2001-05-18,0.023029358236119
2001-05-21,0.00519665634990928
2001-05-22,0.0123151994748611
2001-05-23,-0.0233840769026152
2001-05-25,-0.0215540800792356
2001-05-28,-0.0024584855241785
2001-05-29,-0.014497873707829
2001-05-30,-0.0369161302132592
2001-05-31,-0.00198090569265374
2001-06-01,-0.000151764184247736
2001-06-04,0.00387702258950981
2001-06-05,0.0312768678265991
2001-06-06,0.00437162868562708
2001-06-07,-0.00366183288188547
2001-06-08,-0.003777755008039
2001-06-11,-0.0276893973619807
2001-06-12,-0.159909838658652
2001-06-13,0.0321958463957221
2001-06-14,-0.0518807424694487
2001-06-15,-0.0111913960806665
2001-06-18,0.00169156794120006
2001-06-19,0.0205121979349404
2001-06-20,-0.0215809878884274
2001-06-21,0.0150317340660943
2001-06-25,-0.00303776968291467
2001-06-26,-0.0192277423532989
2001-06-27,-0.0023815240774045
2001-06-28,9.45550998355032e-05
2001-06-29,0.031232157481978
2001-07-02,0.0134773585377439
2001-07-03,-0.0137116822451865
2001-07-04,-0.018892175232668
2001-07-05,-0.0311555641353453
2001-07-06,-0.0416476603423645
2001-07-09,-0.0233253916986817
2001-07-10,-0.00950719499590314
2001-07-11,-0.0318839913653156
2001-07-12,0.0328796080528443
2001-07-13,-0.0130865352380747
2001-07-16,-0.021965875299793
2001-07-17,-0.0233513059309572
2001-07-18,-0.000289657229385645
2001-07-19,0.0830294876171516
2001-07-20,-0.0284772071093688
2001-07-23,0.00162904637397449
2001-07-24,0.000326640381189399
2001-07-25,-0.011873582469493
2001-07-26,0.0118923369674472
2001-07-27,0.0392908996153234
2001-07-30,0.0226885299131423
2001-07-31,0.0111623631589527
2001-08-01,-0.00605829638426696
2001-08-02,0.0236777442197287
2001-08-03,-0.00537810357764594
2001-08-06,-0.0173387697092607
2001-08-07,0.00373544779539831
2001-08-08,-0.0266165386830242
2001-08-09,-0.0487191783142515
2001-08-10,-0.035541930190093
2001-08-13,0.0181006015069632
2001-08-14,0.0224815815649636
2001-08-15,-0.0268035976445034
2001-08-16,-0.0291386680387338
2001-08-17,-0.0314673752157055
2001-08-20,-0.0127701638874973
2001-08-21,0.01655241573144
2001-08-22,0.000787402744618575
2001-08-23,0.0147514433018768
2001-08-24,0.00357390508012398
2001-08-27,-0.0128759243683392
2001-08-28,-0.0223486951693504
2001-08-29,-0.0257914150461753
2001-08-30,-0.0367476165447225
2001-08-31,0.0168076154175506
2001-09-03,-0.0079261304273493
