"Data","ASX Index"
2001-01-02,0
2001-01-03,-0.0199853559944258
2001-01-04,0.0228236768533693
2001-01-05,0.00181773503482312
2001-01-08,-0.00671341641662159
2001-01-09,-0.00794952894812509
2001-01-10,-0.00372700458629577
2001-01-11,0.00696849800802272
2001-01-12,0.00784479008048725
2001-01-15,0.000900457310903989
2001-01-16,-0.0122446366537167
2001-01-17,0.017223323292933
2001-01-18,0.00212275065560464
2001-01-19,0.00125488988759533
2001-01-22,0.00293777531199239
2001-01-23,-0.00273589149740908
2001-01-24,0.0075953004704876
2001-01-25,-0.000650003150525487
2001-01-26,0.00455961850528147
2001-01-29,0.00324067191913184
2001-01-30,0.00282848638111801
2001-01-31,-0.00508939272052667
2001-02-01,-0.00599660071615982
2001-02-02,0.000843327091384771
2001-02-05,0.00142647673515958
2001-02-06,0.00384268829172642
2001-02-07,-0.00914754877372695
2001-02-08,-0.0020848597881835
2001-02-09,-0.00627432133869994
2001-02-12,0.010528825809225
2001-02-13,-0.00165177191588918
2001-02-14,-0.0078297691017071
2001-02-15,0.00304657093007648
2001-02-16,-0.0155679248564968
2001-02-19,0.0006761945537455
2001-02-20,-0.0158068273269652
2001-02-21,-0.00220122965242657
2001-02-22,0.00343015214384512
2001-02-23,-0.00862532392347143
2001-02-26,-0.00340298030164517
2001-02-27,0.00433539116180122
2001-02-28,-0.00400412567328703
2001-03-01,-0.00241631799163174
2001-03-02,-0.00764399333116643
2001-03-05,0.0104043392504931
2001-03-06,0.0122980820848178
2001-03-07,-0.00122244337160219
2001-03-08,-0.000306846821377181
2001-03-09,-0.0129811903792963
2001-03-12,-0.0152309272731085
2001-03-13,-0.0180353753082477
2001-03-14,-0.0167695265074868
2001-03-15,0.0164491696403305
2001-03-16,-0.0251927964799502
2001-03-19,-0.0027483226330488
2001-03-20,0.0142704126034856
2001-03-21,-0.0186421722310838
2001-03-22,-0.0385755013432673
2001-03-23,0.0141193205004139
2001-03-26,0.028324519046524
2001-03-27,0.0239070401854426
2001-03-28,-0.016771854731279
2001-03-29,-0.00367960079662989
2001-03-30,0.00741610439021492
2001-04-02,-0.00198052666519137
2001-04-03,-0.025675990288356
2001-04-04,0.00990688589254893
2001-04-05,0.0148234666706726
2001-04-06,-0.00285699482632277
2001-04-09,0.00883306982578801
2001-04-10,0.0223050378556556
2001-04-11,-0.00106159022617263
2001-04-12,-0.00289996037321236
2001-04-17,-0.00102968007659371
2001-04-18,0.0206799276672694
2001-04-19,-0.00141380067890772
2001-04-20,0.00268257285704652
2001-04-23,-0.00123507033530913
2001-04-24,-0.00422710877098506
2001-04-25,-0.00198197364722282
2001-04-26,0.00605755929206056
2001-04-27,0.0127722158235138
2001-04-30,0.00393660835820687
2001-05-01,-0.00539553300058557
2001-05-02,-0.00263180027754796
2001-05-03,-0.0198591029672704
2001-05-04,0.0156298731327499
2001-05-08,0.00340965645769868
2001-05-09,0.000629663112646366
2001-05-10,0.010859248113957
2001-05-11,-0.00969232855846171
2001-05-14,-0.029709228824273
2001-05-15,0.0224285197249366
2001-05-16,0.00557882030605642
2001-05-17,0.00447420205369748
2001-05-18,0.00237257485701468
2001-05-21,0.00425842857692262
2001-05-22,0.00644759242303447
2001-05-23,-0.0112594304215627
2001-05-24,0.00215158342546079
2001-05-25,-0.00412636018027522
2001-05-29,-0.00381744949503797
2001-05-30,-0.0105109437680345
2001-05-31,-0.00025249561688948
2001-06-01,0.00246512190436903
2001-06-04,0.00716072600819681
2001-06-05,0.0101291956890143
2001-06-06,-0.00268914714622544
2001-06-07,0.00698055865452881
2001-06-08,0.00067029482553243
2001-06-11,-0.0135982174465339
2001-06-12,-0.00957397399087993
2001-06-13,0.00164838873553675
2001-06-14,-0.0114736248497081
2001-06-15,-0.00614245324990309
2001-06-18,-0.00747642633319376
2001-06-19,0.00162585066179769
2001-06-20,0.00148522042268854
2001-06-21,-0.00866604541878033
2001-06-22,0.00313095512419592
2001-06-25,-0.000776649468560321
2001-06-26,-0.0176505791083118
2001-06-27,0.00786018090302924
2001-06-28,0.00405423833761485
2001-06-29,0.0014352784844046
2001-07-02,0.0108316349720687
2001-07-03,-0.01142268654335
2001-07-04,-0.00645961183638589
2001-07-05,-0.00943674867826444
2001-07-06,-0.0124487513976892
2001-07-09,-0.00201917270531398
2001-07-10,0.000468942044057779
2001-07-11,-0.0125799001319225
2001-07-12,0.0150868421757821
2001-07-13,0.00837601164571094
2001-07-16,-0.00316026074956142
2001-07-17,-0.0146583226406742
2001-07-18,-0.00442826627473532
2001-07-19,0.00531231355271021
2001-07-20,-0.00791304777883038
2001-07-23,0.0025002204949056
2001-07-24,-0.0148376805939662
2001-07-25,-0.0088060570762958
2001-07-26,0.00152380504696762
2001-07-27,0.0195055364120295
2001-07-30,0.0078992396166625
2001-07-31,0.0139884362260531
2001-08-01,0.00411799153127714
2001-08-02,0.00725637315927022
2001-08-03,-0.00557102030211937
2001-08-06,-0.00342628084305911
2001-08-07,0.000831426420634281
2001-08-08,-0.00993515022471017
2001-08-09,-0.012684350172728
2001-08-10,0.00404253853044552
2001-08-13,0.000766362409351819
2001-08-14,0.0127286373386061
2001-08-15,-0.0069445489428937
2001-08-16,-0.0112321668043063
2001-08-17,-0.00746334417587134
2001-08-20,0.0024164192989295
2001-08-21,0.0120799269890291
2001-08-22,-0.00340532067086713
2001-08-23,-0.00190509641925857
2001-08-24,0.0120988409899398
2001-08-28,-0.00580514223732286
2001-08-29,-0.00299174703581366
2001-08-30,-0.0141037861745529
2001-08-31,0.00172486473734488
