"Data","GUKG10 Index"
2001-01-02,0
2001-01-03,0.000183335561409168
2001-01-04,0.000185570916164446
2001-01-05,0.000185911792279085
2001-01-08,0.000186176897987392
2001-01-09,0.000188448509434767
2001-01-10,0.000187956436835462
2001-01-11,0.000187918582580238
2001-01-12,0.000190794481617314
2001-01-15,0.000190416192412067
2001-01-16,0.000191626591480467
2001-01-17,0.000191740047545545
2001-01-18,0.000190983612753766
2001-01-19,0.000191059262695067
2001-01-22,0.000192647579793759
2001-01-23,0.000192382904237833
2001-01-24,0.000192118211100879
2001-01-25,0.000191702229216171
2001-01-26,0.000189773018333454
2001-01-29,0.000189886527185219
2001-01-30,0.000189886527185252
2001-01-31,0.000187426444533254
2001-02-01,0.000187880727965088
2001-02-02,0.000188107850261226
2001-02-05,0.000187880727965209
2001-02-06,0.000187767161962404
2001-02-07,0.000186593457040738
2001-02-08,0.000188713446437184
2001-02-09,0.000187540020246726
2001-02-12,0.000187880727965184
2001-02-13,0.000187956436835373
2001-02-14,0.000190491853126225
2001-02-15,0.000191891317274263
2001-02-16,0.000191626591480375
2001-02-19,0.00019132402617969
2001-02-20,0.000191475311701908
2001-02-21,0.000192156025482808
2001-02-22,0.000193063463008737
2001-02-23,0.000192798815075752
2001-02-26,0.00019276100679324
2001-02-27,0.000190000032803739
2001-02-28,0.000185987538566949
2001-03-01,0.00018375241757779
2001-03-02,0.000183752417577471
2001-03-05,0.000184585999113792
2001-03-06,0.000184434451803687
2001-03-07,0.000184964842173869
2001-03-08,0.000184396564076064
2001-03-09,0.000184737540659896
2001-03-12,0.000184472339171709
2001-03-13,0.000184737540659871
2001-03-14,0.000181402294635333
2001-03-15,0.000179695691744583
2001-03-16,0.000177039522498037
2001-03-19,0.000176811768441917
2001-03-20,0.000178291937169979
2001-03-21,0.000178633436502468
2001-03-22,0.000176166394582138
2001-03-23,0.000178102202671748
2001-03-26,0.000179657758933269
2001-03-27,0.000181743527522501
2001-03-28,0.000181970999881034
2001-03-29,0.000184396564076005
2001-03-30,0.00018545728431279
2001-04-02,0.000185836044551543
2001-04-03,0.000184775425146083
2001-04-04,0.000186479854344918
2001-04-05,0.000186593457040785
2001-04-06,0.000184169230142779
2001-04-09,0.000184320787539184
2001-04-10,0.00018568454477597
2001-04-11,0.000189243267603223
2001-04-12,0.000191550952308991
2001-04-17,0.000576049147228235
2001-04-18,0.000195671195413574
2001-04-19,0.000196955537647237
2001-04-20,0.000196124539942106
2001-04-23,0.000194310852291988
2001-04-24,0.000194348645872618
2001-04-25,0.00019540672061883
2001-04-26,0.000193517104292173
2001-04-27,0.000195822315986892
2001-04-30,0.000198088437130597
2001-05-01,0.000197106609522204
2001-05-02,0.000195784536381217
2001-05-03,0.000194877718363827
2001-05-04,0.000193441500997772
2001-05-08,0.000386617935585908
2001-05-09,0.000192004765802447
2001-05-10,0.000193063463008765
2001-05-11,0.000195028869031361
2001-05-14,0.000197408736091291
2001-05-15,0.000197446500302195
2001-05-16,0.000194613190898548
2001-05-17,0.000195066655802678
2001-05-18,0.000198012920517648
2001-05-21,0.000198428244178294
2001-05-22,0.000198617013351551
2001-05-23,0.000200428742573954
2001-05-24,0.000201183386709363
2001-05-25,0.000202767674365488
2001-05-29,0.000404331498920122
2001-05-30,0.000201711552583815
2001-05-31,0.000202164210479545
2001-06-01,0.000198843524555906
2001-06-04,0.000199221014620049
2001-06-05,0.000196955537647368
2001-06-06,0.000197144376596119
2001-06-07,0.000198768022251686
2001-06-08,0.000199711698248474
2001-06-11,0.000198654766113116
2001-06-12,0.000202088771067365
2001-06-13,0.000202767674365371
2001-06-14,0.00020027779659586
2001-06-15,0.000199862665671319
2001-06-18,0.000199749440640245
2001-06-19,0.000200315533626437
2001-06-20,0.000200881546204625
2001-06-21,0.000202088771067437
2001-06-22,0.000199221014619839
2001-06-25,0.00019812619490002
2001-06-26,0.000199749440640273
2001-06-27,0.000199372000633422
2001-06-28,0.000202654531847942
2001-06-29,0.000204539821200438
2001-07-02,0.000205029850365673
2001-07-03,0.00020544444336643
2001-07-04,0.000204728301087563
2001-07-05,0.000204539821200593
2001-07-06,0.000199749440640286
2001-07-09,0.000201334298388452
2001-07-10,0.000200391006615366
2001-07-11,0.000197182143312308
2001-07-12,0.000198239466062446
2001-07-13,0.000199447491495045
2001-07-16,0.000198692518516868
2001-07-17,0.00019865476611298
2001-07-18,0.000197597553565407
2001-07-19,0.000198579260232012
2001-07-20,0.000196313418274533
2001-07-23,0.000196162316324687
2001-07-24,0.000196200092349155
2001-07-25,0.000196804460044499
2001-07-26,0.000196464514494792
2001-07-27,0.000195368937072311
2001-07-30,0.000194802140880014
2001-07-31,0.000194008490744704
2001-08-01,0.00019533115316753
2001-08-02,0.00019684222998228
2001-08-03,0.000195633414374749
2001-08-06,0.000194235264056059
2001-08-07,0.00019355490540131
2001-08-08,0.000191324026179695
2001-08-09,0.000188826985474639
2001-08-10,0.000187691449495768
2001-08-13,0.000187426444533128
2001-08-14,0.000189697343969582
2001-08-15,0.000191324026179626
2001-08-16,0.000189962197956921
2001-08-17,0.000187161421945773
2001-08-20,0.000188145702718615
2001-08-21,0.00018875129314242
2001-08-22,0.000189735181331216
2001-08-23,0.00018935679154556
2001-08-24,0.00019056751240373
2001-08-28,0.000378143150422934
2001-08-29,0.000187577878098437
2001-08-30,0.000186631323886429
2001-08-31,0.000188562056021295
2001-09-03,0.000188486358656615
2001-09-04,0.000194235264056029
2001-09-05,0.000195066655802575
2001-09-06,0.000193479302824243
2001-09-07,0.0001906431702445
